,PSD1,PSD2,PSD3,PSD4
71,0.5594327782751464,0.5738584654781466,0.901046275525852,6.503520422571118
72,0.2952374920631519,0.3110771665768586,0.4278679382475556,5.140677766255783
73,0.2558919263649142,0.2838446873312685,0.2343957296167525,3.2200735765074517
74,0.1528269615525872,0.1603813697031373,0.1907557408118127,1.0763828098118486
75,0.0857272450528633,0.0821126238214853,0.0961758725838369,0.4325551396491871
76,0.0395114353703471,0.0364174146141718,0.0492753564317804,0.30300718487784
77,0.0203781227983019,0.0217367757844282,0.0287785563877556,0.2587776526139845
78,0.0265506960747957,0.0250467168796736,0.0501152279893052,0.1848383267381433
79,0.0410147477806642,0.0341336931434777,0.046370128864535,0.1353664515907729
80,0.040436342761587,0.032266556688124,0.0263836642387511,0.1101391762279718
81,0.022357220386226,0.016846025809487,0.0203885534238886,0.0750814887227097
82,0.0046642370699197,0.005678986532351,0.0102650114557435,0.0750638867630326
83,0.0075923309282005,0.0101285587713952,0.0075085550147588,0.0664790729303429
84,0.0124364116845971,0.0130407980473178,0.0096760714819551,0.0369022654965765
85,0.0094771734725163,0.0089901700085018,0.0077940950708019,0.0210412044636328
86,0.0042964557444317,0.0037255441080212,0.0041341767446784,0.0149126398567732
87,0.0011258811092878,0.0008527137040484,0.0012636333556874,0.0094560979205997
88,0.0004528306634647,0.0003507218651613,0.0007265487633132,0.0060290764634835
89,0.0007620871576268,0.0007286922967676,0.0010799170180887,0.0031498901291212
90,0.0009258753887992,0.000936716251099,0.0011451784999082,0.0022200234603945
91,0.0006784609892794,0.0007287259322284,0.000836711413899,0.0014415960024903
92,0.000181697807688,0.0002081591192838,0.0002927955703433,0.0003011436124073
93,8.416026452137894e-05,0.0001026866485157,2.3929930249302116e-05,0.0001791619492067
94,0.0002268841571665,0.0002545997014164,6.747098420013704e-05,0.0001129846274049
95,0.0001758135118167,0.0001803698850636,6.050900794027124e-05,0.0001597302883507
96,8.171474786372342e-05,8.479282079128486e-05,9.0487581316848e-05,0.0002072326771795
97,4.208488117221301e-05,4.900656064469937e-05,8.238486336942394e-05,0.0001534044542562
98,8.01448628529983e-05,7.360381150349299e-05,5.8113021241431646e-05,0.0001270979443497
