Datetime,valueBVP
2024-10-10 13:40:16.865870,13.56067
2024-10-10 13:40:16.881490,11.53961
2024-10-10 13:40:16.897120,9.712646
2024-10-10 13:40:16.912740,8.138306
2024-10-10 13:40:16.928370,6.83197
2024-10-10 13:40:16.943990,5.746399
2024-10-10 13:40:16.959620,4.818359
2024-10-10 13:40:16.975250,3.956299
2024-10-10 13:40:16.990870,3.109924
2024-10-10 13:40:17.006500,2.265015
2024-10-10 13:40:17.022120,1.454407
2024-10-10 13:40:17.037750,0.696228
2024-10-10 13:40:17.053370,-0.02972412
2024-10-10 13:40:17.069000,-0.8598633
2024-10-10 13:40:17.084630,-2.037903
2024-10-10 13:40:17.100250,-3.794495
2024-10-10 13:40:17.115880,-6.199524
2024-10-10 13:40:17.131500,-9.025391
2024-10-10 13:40:17.147130,-11.7287
2024-10-10 13:40:17.162750,-13.53583
2024-10-10 13:40:17.178380,-13.73676
2024-10-10 13:40:17.194010,-11.91516
2024-10-10 13:40:17.209630,-8.128174
2024-10-10 13:40:17.225260,-2.906433
2024-10-10 13:40:17.240880,2.920349
2024-10-10 13:40:17.256510,8.507813
2024-10-10 13:40:17.272130,13.21051
2024-10-10 13:40:17.287760,16.68695
2024-10-10 13:40:17.303390,18.86554
2024-10-10 13:40:17.319010,19.80542
2024-10-10 13:40:17.334640,19.58307
2024-10-10 13:40:17.350260,18.28741
2024-10-10 13:40:17.365890,16.08954
2024-10-10 13:40:17.381510,13.28638
2024-10-10 13:40:17.397140,10.33911
2024-10-10 13:40:17.412770,7.689209
2024-10-10 13:40:17.428390,5.649353
2024-10-10 13:40:17.444020,4.250305
2024-10-10 13:40:17.459640,3.309143
2024-10-10 13:40:17.475270,2.524658
2024-10-10 13:40:17.490890,1.660522
2024-10-10 13:40:17.506520,0.6651611
2024-10-10 13:40:17.522150,-0.3604736
2024-10-10 13:40:17.537770,-1.253723
2024-10-10 13:40:17.553400,-1.920166
2024-10-10 13:40:17.569020,-2.397156
2024-10-10 13:40:17.584650,-2.824463
2024-10-10 13:40:17.600280,-3.416321
2024-10-10 13:40:17.615900,-4.471619
2024-10-10 13:40:17.631530,-6.28479
2024-10-10 13:40:17.647150,-9.129822
2024-10-10 13:40:17.662780,-13.06763
2024-10-10 13:40:17.678400,-17.75964
2024-10-10 13:40:17.694030,-22.44495
2024-10-10 13:40:17.709660,-26.05127
2024-10-10 13:40:17.725280,-27.51935
2024-10-10 13:40:17.740910,-26.18439
2024-10-10 13:40:17.756530,-22.04968
2024-10-10 13:40:17.772160,-15.78906
2024-10-10 13:40:17.787780,-8.47821
2024-10-10 13:40:17.803410,-1.263489
2024-10-10 13:40:17.819040,5.026917
2024-10-10 13:40:17.834660,9.945557
2024-10-10 13:40:17.850290,13.39307
2024-10-10 13:40:17.865910,15.38391
2024-10-10 13:40:17.881540,15.94519
2024-10-10 13:40:17.897160,15.091
2024-10-10 13:40:17.912790,12.90906
2024-10-10 13:40:17.928420,9.70636
2024-10-10 13:40:17.959670,2.505127
2024-10-10 13:40:17.975290,-0.2590942
2024-10-10 13:40:17.990920,-2.006226
2024-10-10 13:40:18.006540,-2.870361
2024-10-10 13:40:18.022170,-3.281494
2024-10-10 13:40:18.037800,-3.764282
2024-10-10 13:40:18.053420,-4.631165
2024-10-10 13:40:18.069050,-5.860535
2024-10-10 13:40:18.084670,-7.137207
2024-10-10 13:40:18.100300,-8.070068
2024-10-10 13:40:18.115920,-8.45343
2024-10-10 13:40:18.131550,-8.405457
2024-10-10 13:40:18.147180,-8.346924
2024-10-10 13:40:18.162800,-8.820068
2024-10-10 13:40:18.178430,-10.22534
2024-10-10 13:40:18.194050,-12.61523
2024-10-10 13:40:18.209680,-15.65607
2024-10-10 13:40:18.225300,-18.7124
2024-10-10 13:40:18.240930,-21.01984
2024-10-10 13:40:18.256560,-21.86548
2024-10-10 13:40:18.272180,-20.78925
2024-10-10 13:40:18.287810,-17.6106
2024-10-10 13:40:18.303430,-12.4975
2024-10-10 13:40:18.319060,-5.961609
2024-10-10 13:40:18.334680,1.187805
2024-10-10 13:40:18.350310,8.009277
2024-10-10 13:40:18.365940,13.59991
2024-10-10 13:40:18.381560,17.34039
2024-10-10 13:40:18.397190,19.01086
2024-10-10 13:40:18.412810,18.74243
2024-10-10 13:40:18.428440,16.8858
2024-10-10 13:40:18.444060,13.82422
2024-10-10 13:40:18.459690,9.86908
2024-10-10 13:40:18.475320,5.230286
2024-10-10 13:40:18.490940,0.1304321
2024-10-10 13:40:18.506570,-5.180969
2024-10-10 13:40:18.522190,-10.33319
2024-10-10 13:40:18.537820,-14.96552
2024-10-10 13:40:18.553440,-18.81384
2024-10-10 13:40:18.569070,-21.80469
2024-10-10 13:40:18.584700,-24.00708
2024-10-10 13:40:18.600320,-25.56543
2024-10-10 13:40:18.615950,-26.57086
2024-10-10 13:40:18.631570,-26.97064
2024-10-10 13:40:18.647200,-26.64856
2024-10-10 13:40:18.662820,-25.47827
2024-10-10 13:40:18.678450,-23.54614
2024-10-10 13:40:18.694080,-21.21387
2024-10-10 13:40:18.709700,-19.09882
2024-10-10 13:40:18.725330,-17.90271
2024-10-10 13:40:18.740950,-18.06573
2024-10-10 13:40:18.756580,-19.53119
2024-10-10 13:40:18.772200,-21.56274
2024-10-10 13:40:18.787830,-22.91785
2024-10-10 13:40:18.803460,-22.16083
2024-10-10 13:40:18.819080,-18.16742
2024-10-10 13:40:18.834710,-10.53357
2024-10-10 13:40:18.850330,0.2566528
2024-10-10 13:40:18.865960,12.93042
2024-10-10 13:40:18.881580,25.81818
2024-10-10 13:40:18.897210,37.30573
2024-10-10 13:40:18.912840,46.24377
2024-10-10 13:40:18.928460,52.03748
2024-10-10 13:40:18.944090,54.58966
2024-10-10 13:40:18.959710,54.06061
2024-10-10 13:40:18.975340,50.67767
2024-10-10 13:40:18.990960,44.67932
2024-10-10 13:40:19.006590,36.39569
2024-10-10 13:40:19.022220,26.39307
2024-10-10 13:40:19.037840,15.53351
2024-10-10 13:40:19.053470,4.867737
2024-10-10 13:40:19.069090,-4.634521
2024-10-10 13:40:19.084720,-12.30829
2024-10-10 13:40:19.100340,-17.97327
2024-10-10 13:40:19.115970,-21.85077
2024-10-10 13:40:19.131600,-24.38379
2024-10-10 13:40:19.147220,-26.02008
2024-10-10 13:40:19.162850,-27.03961
2024-10-10 13:40:19.178470,-27.54596
2024-10-10 13:40:19.194100,-27.55188
2024-10-10 13:40:19.209720,-27.13507
2024-10-10 13:40:19.225350,-26.51733
2024-10-10 13:40:19.240980,-26.07111
2024-10-10 13:40:19.256600,-26.2829
2024-10-10 13:40:19.272230,-27.61481
2024-10-10 13:40:19.287850,-30.3606
2024-10-10 13:40:19.303480,-34.51746
2024-10-10 13:40:19.319100,-39.68823
2024-10-10 13:40:19.334730,-45.13013
2024-10-10 13:40:19.350360,-49.77228
2024-10-10 13:40:19.365980,-52.47455
2024-10-10 13:40:19.381610,-52.24689
2024-10-10 13:40:19.397230,-48.52466
2024-10-10 13:40:19.412860,-41.33417
2024-10-10 13:40:19.428480,-31.28186
2024-10-10 13:40:19.444110,-19.3645
2024-10-10 13:40:19.459740,-6.723938
2024-10-10 13:40:19.475360,5.592896
2024-10-10 13:40:19.490990,16.71674
2024-10-10 13:40:19.506610,25.9798
2024-10-10 13:40:19.522240,32.87207
2024-10-10 13:40:19.537860,37.07867
2024-10-10 13:40:19.553490,38.57202
2024-10-10 13:40:19.569120,37.70081
2024-10-10 13:40:19.584740,35.17294
2024-10-10 13:40:19.600370,31.87241
2024-10-10 13:40:19.615990,28.60257
2024-10-10 13:40:19.631620,25.81601
2024-10-10 13:40:19.647240,23.50555
2024-10-10 13:40:19.662870,21.30176
2024-10-10 13:40:19.678500,18.74869
2024-10-10 13:40:19.694120,15.52533
2024-10-10 13:40:19.709750,11.55249
2024-10-10 13:40:19.725370,7.02359
2024-10-10 13:40:19.741000,2.262573
2024-10-10 13:40:19.756620,-2.381714
2024-10-10 13:40:19.772250,-6.622528
2024-10-10 13:40:19.787880,-10.2392
2024-10-10 13:40:19.803500,-13.09
2024-10-10 13:40:19.819130,-15.14963
2024-10-10 13:40:19.834750,-16.5726
2024-10-10 13:40:19.850380,-17.74048
2024-10-10 13:40:19.866000,-19.23853
2024-10-10 13:40:19.881630,-21.63382
2024-10-10 13:40:19.897260,-25.17987
2024-10-10 13:40:19.912880,-29.55106
2024-10-10 13:40:19.928510,-33.75555
2024-10-10 13:40:19.944130,-36.26624
2024-10-10 13:40:19.959760,-35.55527
2024-10-10 13:40:19.975380,-30.62314
2024-10-10 13:40:19.991010,-21.5246
2024-10-10 13:40:20.006640,-9.439636
2024-10-10 13:40:20.022260,3.680878
2024-10-10 13:40:20.037890,15.7738
2024-10-10 13:40:20.053510,25.35123
2024-10-10 13:40:20.069140,31.84296
2024-10-10 13:40:20.084760,35.52759
2024-10-10 13:40:20.100390,37.08475
2024-10-10 13:40:20.116020,37.12073
2024-10-10 13:40:20.131640,35.86771
2024-10-10 13:40:20.147270,33.29224
2024-10-10 13:40:20.162890,29.38025
2024-10-10 13:40:20.178520,24.45306
2024-10-10 13:40:20.194140,19.20242
2024-10-10 13:40:20.209770,14.45743
2024-10-10 13:40:20.225400,10.78458
2024-10-10 13:40:20.241020,8.246643
2024-10-10 13:40:20.272270,4.70047
2024-10-10 13:40:20.287900,2.615845
2024-10-10 13:40:20.303530,0.09640503
2024-10-10 13:40:20.319150,-2.602448
2024-10-10 13:40:20.334780,-5.0802
2024-10-10 13:40:20.350400,-7.059052
2024-10-10 13:40:20.366030,-8.549347
2024-10-10 13:40:20.381650,-9.805359
2024-10-10 13:40:20.397280,-11.19809
2024-10-10 13:40:20.412910,-13.05743
2024-10-10 13:40:20.428530,-15.52274
2024-10-10 13:40:20.444160,-18.44919
2024-10-10 13:40:20.459780,-21.42792
2024-10-10 13:40:20.475410,-23.84055
2024-10-10 13:40:20.491030,-25.00729
2024-10-10 13:40:20.506660,-24.40198
2024-10-10 13:40:20.522290,-21.79468
