,Alpha_Beta_C1,Alpha_Beta_C2,Alpha_Beta_C3,Alpha_Beta_C4
1,2.4450482611616686,2.4175230106265437,2.315995674071219,2.343877177008777
4,2.938447466179091,2.9637520471101486,2.9564225136913977,3.0082880932210694
5,1.8034800219623588,1.8516115309141317,1.7616248729631996,1.832781156535863
7,1.582377448836488,1.3967356135654936,1.3502853457229111,1.3592791595389395
8,1.6292610228541775,1.5401549748881835,1.5460382435391908,1.5519897787325168
9,1.79861640191455,1.8038667015019816,1.8289925929894704,1.8463008917610249
10,1.6706104885667208,1.7351846576706988,1.6973430538018444,1.8861692152172544
11,1.8435813898007325,1.907685582846624,1.900399606643783,1.947286283999856
12,0.869032451870653,0.8705920011302949,0.8564772053313202,0.8866895057605193
13,0.9736006656098516,0.9782274151644168,0.9722665263922162,0.9825678878023688
14,1.186795123211076,1.1896758938637093,1.183421968536355,1.189843409311028
18,2.637116763919606,2.657410997437209,2.6751902433443706,2.705483162678794
19,1.4328451225631198,1.456117978626319,1.429419918318098,1.4267453029557111
20,1.0603383241568132,1.0433107431351083,1.081013561195214,1.0453714215045486
21,0.3401618196928125,0.3390385903146775,0.3282633236195126,0.3529561793150571
22,0.6412780884656895,0.646398172143106,0.6071844378655642,0.6037643187637306
23,1.0455862528815532,1.03340120861141,1.067505967920608,1.0673288372501937
24,0.3274475945546206,0.3096734029482445,0.29751639451347,0.3033939238956321
25,0.4441159455697817,0.4369740219468975,0.44136962122784,0.449532975643306
26,0.8705716971284653,0.8619791297838488,0.8612073991611123,0.8386553797053832
27,3.268611115083154,3.340953425154593,3.3664288998651943,3.377658007047596
29,3.4472036294952857,3.465385615785659,3.467715495961145,3.4811193111557186
30,0.8710594227545567,0.8416665339010665,0.85409776540014,0.8477754583214242
31,0.8315890717742908,0.8442319670931749,0.8115157581940928,0.8243776468551133
32,0.8150992239542824,0.8113198686080915,0.8083724410121457,0.8119512375777284
33,0.9447609641538088,0.9502877041242488,0.9332076734556096,0.9350063875655764
34,1.6849588211812505,1.6904370112773426,1.6887487620121722,1.6931206276857689
35,1.3192172076863566,1.3238592789796966,1.3345339102327338,1.356971000882527
36,0.8929481797980102,0.8780169113997182,0.8501428555539571,0.8476269513470004
37,1.2877415838324886,1.274480123573258,1.2579800803317736,1.1969322636217123
38,0.7890780980473387,0.7891451174454993,0.7891880231069929,0.8017516557685722
39,0.7654874047345867,0.7752808604140479,0.7610811290220696,0.766880502813169
40,1.0418080250145971,1.0662346710716009,1.0624003212505655,0.8551545940846895
42,0.421428749516194,0.4241055896262071,0.4176328295435705,0.4213331307850802
43,0.6720305731942728,0.6560074354066253,0.6539460709342052,0.6657755783508539
44,0.5882748705738663,0.5896735437376506,0.5820245695614548,0.6081643961273412
45,0.5360528084887528,0.5308061511891633,0.530950977932903,0.5425562743230634
46,0.6500426046295739,0.6545209684322824,0.6757970165673799,0.6809408568011961
47,3.426065293815163,3.457697627993214,3.446019905273685,3.4475357068349264
48,1.156345597482355,1.1608092334542734,1.1552882340718789,1.164441996158442
49,1.09615987910687,1.1153446626222894,1.091433162463138,1.1007177360474771
50,2.9048265158285687,2.9508999802874296,2.9596733970119504,3.0084226420900837
51,1.0194091168660846,1.02121874436073,0.9920000083617492,0.9557160983443472
52,0.8492616633764937,0.8923482395225061,0.8710463869054038,0.8902492076248164
53,0.6122481791906501,0.6527528521568576,0.6671791955560166,0.6883048688402152
54,0.5840239438075766,0.6126578512987407,0.6167799836981875,0.6515843356556954
55,0.4429906932594596,0.4752433306901166,0.4799160309624929,0.4897461494551326
56,0.7104231983941107,0.7487201940883768,0.7441739472342584,0.7399644038877944
57,0.6861699056021022,0.7217051662658677,0.7213430696182771,0.7194738104915558
58,0.4789865307260749,0.5066992322730497,0.5137847284285023,0.519662504539627
59,0.6693372247611367,0.6837136944981479,0.6834547452831786,0.692199056943957
60,0.8769013904710578,0.8489277538162675,0.8386635525296,0.8594187950927381
61,0.95125635117891,0.9560995266543418,0.9304077936080112,0.9522145386132188
62,0.430954333058261,0.4360721589503341,0.4280086721861879,0.4432231017100941
63,0.3919439402383931,0.3985994857646849,0.3864785631376036,0.3997247041719585
64,0.5968916455879274,0.5948677637611248,0.6031735902724004,0.6005530129029918
65,0.4812961991435538,0.5011615541961213,0.4859912029766585,0.4879822681911596
66,0.4147986590136992,0.4149745986554964,0.4141904401419908,0.4282941151519834
67,1.646863901942548,1.726860456292585,1.6596604521120075,1.7383179606416257
68,1.1452740556180607,1.1211298573279784,1.127991228249034,1.107556411155166
69,2.1987425097196485,2.204773572146113,2.19752408622945,2.1955264895190427
71,0.5337260868425878,0.5717846619199304,0.5566383723031382,0.5566947693195904
72,0.8410708403735584,0.8928916131628135,0.888389543766887,0.8901422015806547
73,1.493622311690114,1.553356270647683,1.5150444580804356,1.5184554032309647
74,0.6161157575367799,0.6256278111215969,0.6230980089164698,0.6198755390421657
75,0.6002763133062303,0.6348353372914932,0.6355170622977878,0.6475287881785239
76,0.75200005311202,0.7726894345687062,0.7703398157975797,0.7711821962801044
77,1.885548392561827,1.906222422934398,1.91961546946481,1.8246964497318696
78,0.9372649055021935,0.9451151088080684,0.9393797914531926,0.948900591903101
79,1.5304700662574884,1.559992262587203,1.560333807068629,1.509840027919975
80,1.978742317684217,1.995287041856003,1.952878151111866,1.9089567869828168
81,3.1314415219165963,3.1996690450392102,3.2041338338653764,3.132157638270423
82,1.157064504905477,1.1564330974304002,1.154836019939232,1.156614617197912
83,1.1790172076965255,1.1876877381380015,1.1784698143209604,1.180382982378078
84,3.0081446055122605,2.515293144439004,2.5284362911570275,2.5294498043608096
85,2.37873846939497,2.275139382750853,2.2959098048376383,2.2539021672616597
86,0.7600350219293567,0.768787724775243,0.7640742936655516,0.7740231023951045
87,1.6187851405249332,1.6930133927264066,1.6919632690030508,1.7251719667445815
88,1.6329909128078546,1.6488269957398662,1.6123432486559803,1.6211537566301455
89,2.044384618920283,2.0811034557694543,2.023507951736284,2.0439167340797084
90,1.5477507424406352,1.5623175048018785,1.5338826373457437,1.5389831444635185
91,0.4414110899535144,0.4440887479929636,0.4538618063782154,0.4458835763394634
92,0.7456321973862318,0.7609151396964489,0.7560148980967641,0.7530902365422764
93,1.3045164898911643,1.3042739986584715,1.3123796593006547,1.294686328492018
94,0.4840538575451809,0.4851106819869261,0.4868839915537246,0.4874655305362035
95,0.8436195105714548,0.8464198418327791,0.8402225861558678,0.8433810000679688
96,0.279297466670122,0.2814012665647389,0.283415776238936,0.281271884139439
97,1.1967520339910356,1.2227861577014618,1.195809746428897,1.2056176523334137
98,0.9272071939364755,0.9480604074864052,0.8793213553069428,0.9338178590740396
99,0.9946142092482976,1.0004572763629411,0.9895679971570688,1.0013401141227372
100,0.8980903837457104,0.918343284922534,0.943264261467622,0.8927862511832816
101,0.7511362118710891,0.7662562707895811,0.7731296753411047,0.7563746442014359
102,1.008874318357411,1.0135612912471357,0.9811244320098258,0.9971064152060156
103,3.003123879161659,3.012990076570039,2.9988021982438693,3.007753805816052
104,2.6976142591911185,2.709439721351984,2.727156767118564,2.716906231749422
105,3.1488649834745748,3.172568601684665,3.147478313177375,3.157102819376024
106,2.0019976421409846,1.9662256360089,1.9219216263040284,1.9325113249436268
107,0.9586480960272966,0.9669692117677164,0.9683493008844566,0.9657278180309292
108,1.0338391502774358,1.0376242193735064,1.035395013246273,1.0289839093613322
109,3.46554525010818,1.3879479555632075,1.3048844803747712,2.0787993484390785
