,Delta_C1,Delta_C2,Delta_C3,Delta_C4
5,7574.742262253741,13296.003504274348,14616.6892948463,11614.053665148604
9,26451.31335655918,40579.89503382473,43363.62605754007,38860.235337390346
10,12390.846941078307,17721.713420590037,20279.68202509888,18469.559470195043
11,47750.433731046345,67583.04123756492,73510.9600268147,65176.95902764064
12,1634.9027877272017,2335.203784483097,2488.1527195856597,2115.859418637509
13,41622.30199055791,56606.742474900646,60413.34635644149,57395.07275861214
19,107923.2423031642,129722.20194430673,137708.15221783097,133732.66871413589
20,16339.495053718205,23953.140927747816,20867.53552165165,20735.92425238654
21,2087.934717583981,2352.0170220029354,2563.2512711275986,2399.204667558369
22,1070.6199002558917,1182.1273771115707,1155.9671763391334,1312.8418921309494
23,3570.7754605555037,4202.647588569995,4475.191932403294,4475.582663551394
24,550.7350120128353,685.5336843788556,733.2932448350342,729.533524520702
25,202.54810992407823,255.96700695144932,280.45714110728903,284.7886281481553
26,2318.1778346074952,2642.89785358574,2447.299765239662,3613.395064984517
27,70684.59465175377,82208.04691203515,85976.3070301576,83218.91591725076
30,1323.447526318844,1518.6962131621312,1694.9391161667386,1702.4612109096015
31,7800.088462435821,8803.213742543514,9275.609285900273,9051.917130478572
32,924.9452507945674,1010.3121279326408,1082.1886820803873,1131.7929341777462
33,347.492847270273,409.8768262392504,447.35532770504034,460.8968488970758
35,2552.062881395427,2897.635951628882,2886.6599755776638,3048.4860803856345
36,277.9087089688901,327.57130006781955,367.4604539250073,369.1058477754312
37,549.7476385428209,586.8650888366157,624.8292484910119,2058.982071076284
38,419.6909038770349,446.2463862660411,499.1556336839563,588.1535866924725
39,380.95271178751113,491.1092068385606,432.1691377411775,496.9834541819313
40,692.7703799938649,697.326458890951,705.946611834387,1984.3346490634303
41,89228.54535178062,99935.26516192472,101972.37319780864,102006.84543423571
42,201.5054595172413,224.82843329417872,282.7174708361491,255.8223839734959
43,470.7752726266645,599.0532061645997,600.8989881008857,566.6989261444431
44,242.8935537242856,279.8299578801792,312.0099583421805,257.8618045647619
45,107.0396459101356,111.04760762689271,133.02554675077994,168.31980455743565
46,74.21214499090503,71.03774985844794,88.87609261911845,131.18191740875915
47,85962.71444915587,96068.59838026616,97182.77129132512,96243.06380402327
49,1142.718607241599,1246.479369295721,1289.8026282819656,2630.647108835771
50,18235.26290988646,19581.700103780484,19925.317544661677,19955.877239583595
51,1862.202762342869,1783.698199330031,1617.2164831972732,2740.281061775759
52,765.2888911302884,724.8372003842164,833.178734741309,1416.0457487978226
53,446.3830803236965,462.67147382911867,490.0362872465481,477.7411656225535
54,415.7289187889747,214.63963791108216,285.0851582147289,379.3484671178402
55,403.4042286446168,179.3525558663604,209.6151513952948,308.3655064734334
56,238.4509833459559,88.92965639702142,111.46881772186497,105.42012718842255
57,1523.98119788254,1373.0011717482453,1488.365945103305,1426.227976286668
58,329.66590604027533,229.61045936998863,232.3631093910568,266.55240040219223
59,542.5620785034539,437.6363652875639,459.2659152810544,525.9118598747964
60,1324.816675379176,1340.7760709524582,1355.9283838443848,1223.7567768288714
61,5017.943312409272,5132.429996763299,4399.687160000681,5120.462704953081
62,674.0630586166917,689.3643085801028,716.8706714800132,859.4505658981254
63,288.9899959496058,304.00024272458654,368.95387440450776,335.7859229974181
64,2416.632720807987,2406.624976671831,2554.209153784541,2425.0670336977832
65,525.2335464057667,518.0631828247297,551.174983419746,443.8553772196863
66,219.10201251343264,186.71694361677697,162.51332839592698,343.62099505441347
67,1046.236921983421,1235.0164566992194,1190.5051122854616,5731.366945531712
68,8539.384235997555,8573.213666786292,8506.71345200197,7013.362488907441
71,2207.618897787103,2317.945963326373,2486.0952664335755,2772.095722313625
72,2256.6998133326542,2147.710898724045,2217.18313874824,2214.2887255793894
73,12882.265278573954,14125.608594720838,14117.622810198198,13784.795964091296
74,567.1715666524639,562.5801671565521,567.5492341771081,592.2526713078987
75,4148.530928374094,4285.964852436443,4369.545201970716,4325.728157438742
76,51289.24914466437,42937.968775656336,47761.89879156499,47757.451248569865
77,8061.315963251587,7474.608653210626,5962.324968867434,6927.740864632975
78,7126.573690680098,8392.442086807161,6625.99530649383,7011.245714414421
79,4676.838948236233,6450.855192285849,5604.4724623609,6397.670813315648
80,30964.259251709,34878.914992857164,30829.57638490835,38644.242818135644
83,107974.2725777142,115298.8587469966,115227.29974211549,111441.2119757018
