,Alpha_Beta_C1,Alpha_Beta_C2,Alpha_Beta_C3,Alpha_Beta_C4
0,1.3596199051966065,1.370759848681969,1.3499381729620166,1.3545697530965923
1,0.6778302933296074,0.6808780263362169,0.6733376540264103,0.6765650718471539
2,0.4411916619602323,0.4467795360327881,0.4500265349325567,0.4479155443871427
3,1.7231834032267197,1.7430916534349037,1.724308524529072,1.7414030185640708
4,1.3773280731505788,1.384265204489716,1.3989433963545923,1.3938759896376576
5,1.0374953545874672,1.0383950678264182,1.0416962154471296,1.0444020705466266
6,0.9464875188385992,0.9558667853333774,0.9513462031929678,0.9508313885797476
7,0.7356549092034207,0.737156001089141,0.7348666631306223,0.7377988657562412
8,0.4671018523091778,0.4680883725215111,0.4663396672775474,0.4665290956529172
9,1.2923164408441656,1.2913483351733293,1.2856828597200372,1.2850262827536274
10,1.825883623322136,1.8384906450754908,1.8319567165046236,1.8336301485063031
11,1.8394461702261915,1.8481826864014264,1.838328995067668,1.8547064718510784
12,1.8601549012169496,1.8792550280292184,1.866088585548016,1.865374797666892
13,0.3191530037073327,0.3201761246069202,0.3196084290976133,0.3191976570397721
14,0.5426162890320688,0.5434769355912591,0.5409526425936959,0.5411673851399182
15,0.6870253647025665,0.6824965851738769,0.6792952904807043,0.6771853039046803
16,1.063756722352486,1.0703029602621958,1.063617959735308,1.0719679530239166
17,0.9667634233973282,0.9812054435272818,0.9631293403292128,0.9739213305614658
18,1.0162946228933831,1.0307426140882896,1.0279507531459255,1.022787802981742
19,0.5505131890039138,0.5567617335470411,0.5514000959062977,0.5551343863964793
20,1.0942629542124995,1.1073019850705206,1.109068111604714,1.10802396545007
21,1.0053302129816128,1.013806781021927,1.0087695701389892,1.0174184447370094
22,1.1223005410017792,1.1343788635047356,1.1207416672654205,1.1289356753555124
23,1.0229678655598755,1.0284337264702816,1.0193982376384607,1.022269904228443
24,0.7873444756148914,0.7998882092964174,0.7930800700660088,0.7940063686175414
25,0.4623128235215133,0.4625460196781957,0.4618330446396338,0.4657279000811989
26,1.4863324126876711,1.495928579654075,1.4937744217800522,1.4978733286636163
27,0.2843078156220436,0.2892548918409596,0.2847067015466922,0.2865084649093919
28,0.4591114499108921,0.4629220936668968,0.4595178708179401,0.4631522131830518
29,1.0944176131877703,1.109393126768133,1.0985883050038072,1.0956744939962535
30,0.7513724368621679,0.7613770999950668,0.7553069404923234,0.7608586609574375
