,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:21:49.772918,18158.818745522316,19243.330479021482,18003.60293187267,17209.739618662374
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:21:52.502884,15432.775140812832,16376.694245530094,15334.79759030601,14676.824321087308
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:21:55.010418,8062.494331740872,8627.464118616965,8198.110471935568,7814.9932930842315
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:21:57.583274,13428.23066976565,14243.674246234212,13409.525936541271,12886.165775311696
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:00.163479,13279.70855443015,14130.582414525581,13409.916668136,12752.777734537714
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:02.761598,16482.85327174945,17492.551266650855,16547.00775654028,15797.662600221767
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:05.317880,17002.676089354067,18151.291764363585,17105.850965285885,16308.420042980648
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:07.891100,8459.977204380944,8977.477827184885,8448.059772941366,8089.253463000928
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:10.481655,5744.880398875646,6079.727579232002,5709.871294982484,5476.123846734751
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:13.091843,14677.609131277666,15492.928961081909,14607.09019236342,13959.4968513538
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:15.658650,30346.63723896039,32090.8764047313,30426.797736800007,29067.928826031897
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:18.231050,24787.904223561025,26111.98508457463,24794.877012177905,23931.92385057875
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:20.812477,25872.041816691475,27597.4364337929,25935.1862354101,24822.490689394304
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:23.421765,6302.336257342049,6681.086338765653,6315.288553973235,6040.413849014528
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:25.997045,11477.959462433206,12223.973820559488,11426.978197979046,10954.72608125475
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:28.581949,17763.33688148928,18693.332314888314,17547.959633338236,16750.70492806098
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:31.174932,20757.22873805217,22077.731452032727,20736.996670670895,20063.22799774131
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:33.778492,13194.19887383795,14092.600209349537,13054.896942194602,12666.543909267184
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:36.394811,13227.361559849785,14100.110184556763,13340.649715320113,12707.037119905166
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:38.992838,11571.838975568535,12263.58923526727,11514.22814037648,11138.743986094198
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-09 18:22:41.588988,11130.492735486765,11844.472452417693,11251.184290192594,10759.668338975824
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
