,Delta_C1,Delta_C2,Delta_C3,Delta_C4
58,68784.59662954927,222038.7993484079,266431.933117255,243500.7424655489
59,67264.52330270447,247111.86377922283,279019.85321844014,260090.32759046156
60,70011.33877871037,246338.57736878647,287043.9668990362,267452.77922820987
61,50811.77917126302,190139.0771544988,181509.96595158253,182025.8512510657
62,75264.26629699332,253380.38171930227,259078.56587893172,258975.8061110987
63,80619.49628214461,255999.30502135537,265191.51483639947,263317.3543665436
64,101832.96130155104,288526.230986917,348342.21603001544,382643.2133451553
65,58929.54467099439,224508.0814157657,285201.30494400056,256154.07636268224
66,83470.14955198024,291253.0133855973,305659.07706541504,302442.45608149783
67,94851.10943214515,288581.9741999152,383648.9343117138,363029.3317593212
68,90938.75865037902,307046.9561296774,321245.7204303685,312779.1210837333
69,69884.73939502012,237918.2205532437,238586.47122210872,238002.34508008283
70,95540.25335965434,327639.18444190995,315891.8242827183,318758.73622902564
71,103433.66747594184,327128.3394370549,342550.351028699,334172.9368072733
72,110103.54046498353,330368.0340858055,379209.89690644544,372215.9936906426
73,83716.67361783171,258514.3746233263,278432.55806864885,273299.30859346926
74,114227.52448421068,354066.8092177575,359322.79250080284,361970.92455945
75,118643.97592054072,359996.0380310893,365235.8696623386,362798.3349516168
76,126324.02583133374,363606.8026747705,406999.16436185135,391821.9431352249
77,94715.0721041538,283773.57099720504,281101.29818621126,282009.245738469
78,132497.38100673168,380877.3708149165,394636.1780614521,395805.342584177
79,137622.31329159084,389893.46976596327,397851.40839684,393340.40221229394
80,140948.0698466913,401184.29091242346,408599.06064718094,406918.1132530501
81,147289.53531545508,406894.1252092621,422466.4853004089,419545.0013460357
82,149347.363404372,419619.45361135295,420243.78287549375,426309.5952998098
83,155886.74964835262,425874.4698755104,433730.9627108568,429462.5905106295
84,158496.82648339137,437555.79911841534,433441.34802459634,436631.5140287976
85,123402.98389797642,334400.5458368357,338457.5272420361,331807.083133267
86,168414.02692494536,453946.9422609796,452522.7870237629,454837.73059777817
87,172210.41897365227,466559.23984483135,463614.2514979102,464461.2646749999
