,PSD1,PSD2,PSD3,PSD4
87,0.0001763229595045,0.0001452979263837,0.0002953760506413,0.0003368404565175
88,5.711779369312544e-05,8.060859579127917e-05,0.0002378563697941,0.0001934112681019
89,0.0001120654795516,0.0001940217657726,0.0002877340034903,0.0003106817434251
90,0.0001589703554787,0.0001525642178261,0.0002129755300533,0.0001326372473182
91,7.300385592565901e-05,6.577640375936084e-05,0.0002242890141327,0.0001506537570979
92,0.0003546457693906,0.0004233653296431,0.0004855729143304,0.0004378171812703
93,0.0002468673664644,0.0002516828695653,0.0003532099317479,0.0002327439265741
94,6.062849812912555e-05,6.18531795610421e-05,0.0001112213120365,7.782249153213341e-05
95,3.0426071564702196e-05,2.7249861962397308e-05,3.0981383205572966e-05,2.4596202382998936e-05
96,9.659594293587e-06,7.417811833877e-06,2.030160025415204e-05,1.183033123194963e-05
97,3.28537775930318e-05,4.002486653998134e-05,2.797686103755413e-05,2.1929846376661746e-05
98,1.1910675819130865e-05,1.1950166278041174e-05,7.656198886197829e-06,4.663156718515296e-06
99,8.716382307798538e-06,1.169337473308142e-05,9.957211983899469e-06,7.127946578816574e-06
100,8.516269282491597e-06,1.0022864666486248e-05,6.334241055298894e-06,4.750254167744823e-06
101,7.963599759615125e-06,4.6125696337251e-06,4.272789763955931e-06,2.9550984735104108e-06
102,5.519052097054196e-06,5.463676332291205e-06,2.561352279310974e-06,2.085499309627053e-06
103,1.4041834889265298e-06,9.254547226928556e-07,1.3808116328940164e-06,1.0473098030684578e-06
104,7.15350370505802e-06,7.404709437019224e-06,5.627367375080622e-06,4.306187226414102e-06
105,2.469988854900841e-06,3.7270651867387834e-06,2.203227547599121e-06,1.9028402965815528e-06
106,2.640660491420436e-06,2.623809588997797e-06,1.887338217083257e-06,1.9602392215470937e-06
107,2.084590688855442e-06,2.4085009673980586e-06,2.785140353600191e-06,1.7356529151576243e-06
108,7.787748030878916e-07,1.2776288081204895e-06,3.623141400523105e-07,6.20139498661392e-07
109,8.453207980206724e-07,7.034578944673527e-07,5.524310225920344e-07,5.059676691543799e-07
110,9.64922305830393e-07,8.975331997651685e-07,1.097298512916425e-06,7.461444564328519e-07
111,9.222310430984054e-07,1.1136653217272857e-06,5.742139975060877e-07,7.555058613737026e-07
112,6.385062195775501e-07,5.88475798126126e-07,6.914602969393384e-07,5.381628573800133e-07
113,4.8345125793462644e-08,1.0212911539268354e-07,2.7450198635552052e-08,2.8136396985987563e-08
114,2.1169847481178173e-07,2.1796104239510267e-07,1.1723282381283245e-07,1.303265678341888e-07
115,8.584577328020912e-08,1.0139215363450707e-07,7.807743194711069e-08,7.867038806599266e-08
116,3.152205645056152e-08,2.4435886933872156e-08,3.5314918822329955e-08,2.2295814717292097e-08
117,2.5705280602209996e-08,3.2535760778032284e-08,2.197319630932101e-08,2.478364540542429e-08
118,1.1859863104022264e-08,1.883374099025632e-08,1.0724909755619166e-08,8.299559468087951e-09
119,1.3367366297819212e-08,1.512600317556741e-08,9.837357982553273e-09,1.0600093076391325e-08
120,9.788364696007117e-09,5.809345410790962e-09,7.714422758135421e-09,7.393950317769941e-09
121,1.6369244973757508e-08,1.3984486822057612e-08,8.872523156691777e-09,1.0519233553565296e-08
122,1.3450144128275096e-07,7.779394450234227e-08,1.4138156986580644e-07,1.498058869023742e-07
123,2.616161615609437e-07,1.4340297502051405e-07,3.044107318037812e-07,3.041288277447199e-07
124,1.019718192063878e-07,6.28648407393118e-08,1.2544430109978893e-07,1.283128986508816e-07
125,8.8541987880111e-09,5.586195578879203e-09,1.0873244863350853e-08,1.0777926954099757e-08
126,2.2160500744070483e-11,1.8246698278703837e-11,7.820794434586837e-11,8.406455662929179e-11
127,2.741943850982276e-11,1.4843752228471332e-11,1.8717214750295304e-11,1.0747757760747924e-11
128,2.813339827201166e-11,1.5854326033588882e-11,1.7151886161819724e-11,8.222447675987531e-12
146,12.168447326819717,5.6027983715796985,16.313170528227765,11.982776691851472
147,15.29520432812854,13.404368890552917,20.590014838330404,13.487632844443766
151,7.445415754430857,9.86469987455134,7.767838963879102,6.954300052809377
152,2.4898937282320626,3.3348736410329205,1.5713026764188385,1.632589230260244
153,3.0115898902495157,1.4665397254590595,3.325022100456275,1.916724883037255
154,7.655078503998996,3.1489443914173654,5.308556498072944,2.7406573728195958
155,7.67706861953061,4.098099014523699,3.715731832621996,2.3216409105774463
156,5.785644699543806,4.435979450917717,3.3394891980512207,2.6215066382583774
157,5.554291632023768,4.335602903103344,3.991521281691785,3.6308299905162658
158,6.830379928711414,6.047388348920926,8.671288936173617,8.345585096562061
159,11.1533950456532,11.120946001559505,21.559576897556248,19.548131154315485
160,12.354360661519353,12.223001925990854,20.18022523567573,18.10181086558036
161,5.959626344905629,5.169189318618947,5.875560792530029,5.3949389683738005
162,1.094197370882111,0.890684321808314,0.767325457343774,0.8229164543396218
163,0.3355298853732062,0.2964101613668872,1.5256637186066833,1.3803337158985762
164,0.9378899157167324,0.2882533788032727,2.363606920081847,1.784675901198283
165,2.4628282727880464,1.1407743458254396,2.022002469812325,1.7347780631091694
166,3.323721606160622,2.179176735950464,2.043767068774073,2.3277621401869792
167,2.0474233693448145,1.6703912710667868,1.677358977899429,1.9784532189182655
168,1.5755730610098455,1.1227019189282808,1.4645567569293905,1.415102033037148
169,3.109278360163168,2.229495042289316,2.498327953290962,2.203781166109633
170,6.183669930615595,5.8550565332946585,6.051652745729821,5.513385077777395
171,4.044485301197747,4.173723763728996,4.524350572721513,4.148920049544536
172,0.8536038450974105,0.9430795517332892,0.9876088649523858,1.0257954375067049
173,0.855032469485331,0.560702232932474,0.5283647256017139,0.6170733673230544
174,0.6788192595567519,0.3817359360391367,0.292604494042315,0.3614807050071455
175,0.453136221202797,0.3672033569095461,0.3350066061942162,0.3774785445312301
176,0.7855287597924852,0.6028928947212051,0.4751956048336483,0.5337659798763584
177,1.332278413168512,1.1176103985490058,0.8580403955700586,1.016766914604222
178,2.2483212957915484,2.2356691663309736,1.8908331200065496,2.2631341614690643
179,6.433587479191656,6.276982092937606,5.695509303955756,6.308626878162453
180,13.250127172898924,13.171875613180056,12.792210108807332,13.02295587427673
181,7.74291897556548,7.755554410667736,7.598153470656856,7.62724472481165
182,1.259576867560119,1.1828332661933976,1.074816207502968,1.1440058447409456
183,0.6919932338576427,0.6346412704929093,0.6184349295775308,0.6427643041326336
184,0.7951203046734271,0.7834354358293129,0.7947883710560755,0.8092510360626268
185,3.81451047779044,3.802892962580179,3.6949597496194055,3.777372014134616
186,7.128740153362386,7.100134046872251,6.869879815359775,6.98215085813147
187,12.89633458124655,11.881103649698025,10.498205884744618,10.750612222659672
191,8.165656079846187,8.083796216345517,20.648320023030987,17.31179329987333
193,11.869233335250676,11.179964786509627,13.768595153040716,13.041399249339651
194,4.508893512642862,4.443384432602806,4.738420434709094,4.800354050514538
195,1.7959064622666203,1.8008599541120172,1.7865459710323106,1.7928076167489446
196,0.7076582874864399,0.7389318084599094,0.7261617498789872,0.7086415425471428
197,0.1530576159121469,0.1578410725143217,0.1566761448994072,0.1448102786548423
198,0.1314508901930974,0.1277041163354622,0.1269517741519384,0.1227953398412552
199,0.3892404890578189,0.3846479307816727,0.3838043466794399,0.3644511896327101
200,1.525757835134737,1.54451218674425,1.5441555766525314,1.4607131253794945
201,1.7631242441199149,1.806603580419034,1.840966482858288,1.7246498591906532
202,0.5100040372090159,0.5325299785080414,0.5699565503592683,0.5138943715190781
203,0.0666581216436527,0.0700147102483625,0.077573885408264,0.070420774420443
204,0.0126557071051344,0.013257798874759,0.0123566423005333,0.0139015890932261
205,0.003090059103281,0.0037083825275263,0.0034851178080758,0.00404009673998
206,0.0020437422161357,0.0019921837741683,0.0021208851635924,0.0021198459782637
207,0.0003168447085709,0.0002367789340019,0.0002454282323872,0.0003061072790794
208,0.0004100461715207,0.0004637712119985,0.0004177703593285,0.0004739346647073
209,0.0010438531430845,0.0011861853967368,0.0010202526645396,0.0011251838862956
210,0.0026542500932761,0.0027214501194555,0.0024924371187892,0.0025460274877748
211,0.0034325340542507,0.0033255550309052,0.0032059284206216,0.0031596561393656
212,0.0010492870861265,0.0010798602747391,0.0011915398802522,0.0010806029615179
213,0.0004089901699132,0.0004829463216347,0.0005242510251475,0.0005012839793974
214,0.000253834107323,0.0002823406415561,0.0002775593559367,0.0002921774987654
215,0.0001744487185828,0.0001540123785947,0.0002063690851315,0.0001841372299086
216,0.0001037604040117,8.908283282465359e-05,0.0001305817382066,0.0001105390136407
217,4.720461297121523e-05,4.549192795342856e-05,4.8951392883352655e-05,4.737876400751161e-05
