,PSD1,PSD2,PSD3,PSD4
70,0.6676580518022873,1.3810195767698854,1.4680493434267214,0.7416230672465378
71,0.4694485645115555,0.7214004383049519,0.6202870986007116,0.5044770423570527
72,0.3335588875633307,0.9784790933433248,0.78626013476726,0.3377907856114404
73,0.6316615890262737,0.6977442487833766,0.7075073088770787,0.7519936369060188
74,0.52149859734222,0.4103994376239379,0.465524511437792,0.5458216631927963
75,0.3180214059109548,0.256910586650954,0.3190613191580631,0.412305812397767
76,0.2644174869716048,0.2403333239566092,0.2452145448058198,0.2631562289265769
77,0.1770580516212572,0.26018671658873,0.2138845044895788,0.1905668010603854
78,0.0934534791188233,0.0999077299594279,0.0923091290345449,0.1066200210082836
79,0.0308080800163409,0.0735947037518555,0.0436148003664307,0.0356675369064466
80,0.0137091772344652,0.0633889144167515,0.044404491814965,0.011823200294116
81,0.0091943059312059,0.0164847519379474,0.0086787364603471,0.006484119341865
82,0.0033488004350677,0.0099438390308737,0.003643738310909,0.0070058766825306
83,0.003864648557863,0.0095663772569924,0.0069716341109878,0.0059667259350753
84,0.0046198800073813,0.0149005808468965,0.0106198900206501,0.0053449276608088
85,0.0016534960579572,0.0099474381426515,0.0068648277098569,0.0045489660228711
86,0.0036073560691665,0.0093613354011245,0.0055678585312637,0.0036318063850883
87,0.0024241852505693,0.012331482441135,0.0097093310704422,0.0028254446975731
88,0.0010490265620307,0.0038732478387465,0.0043085412685076,0.0018196981878798
89,0.0007635539224329,0.0006698743519582,0.0004659894753479,0.0014970952306657
90,0.0010470563180495,0.0018171034125802,0.0020096628435578,0.0014413624622382
91,0.0004253966452169,0.0021908231365298,0.0018000043583815,0.000667945440198
92,0.0011261929775045,0.0017253954327452,0.0016553083514418,0.0018016750589976
93,0.0011672039175658,0.0012914755643327,0.0019245740164794,0.0015085955350026
94,0.0005629870373085,0.0020257747475343,0.002205120149954,0.0008409572100838
95,0.0004992015704995,0.0013455187197549,0.0014004453249209,0.0006564925827329
96,0.0005962156829762,0.0007891957399972,0.0007474199360976,0.000756034642759
97,0.0006229875223678,0.0009979934080081,0.0010078901197734,0.0006978325195216
98,0.0003171460559461,0.0006736451944251,0.0005826395551038,0.0003939633694962
99,0.0002697428624062,0.0004137344936737,0.0003368346726861,0.0002968833498436
100,0.0002399827668038,0.0003357220342725,0.0002976486625943,0.0002576782845595
101,0.0001458198146729,0.0002438843394714,0.0001805859460111,0.0001571430669913
102,0.0001073789730519,0.000165369796843,0.0001461899201954,0.0001071250320246
103,0.0001324819704217,0.0001161633971951,0.0001114875820524,0.0001339430036819
104,0.0001030324641989,9.803362313059828e-05,8.518913449217533e-05,8.786702996545335e-05
105,7.184768289313763e-05,8.150514426254543e-05,5.9871774106869903e-05,7.211257100058712e-05
106,8.124597269650403e-05,8.615858635277009e-05,7.277786220492685e-05,6.843067670346873e-05
107,7.278239337458677e-05,0.0001074310432463,8.793728627084649e-05,6.748353445056973e-05
108,4.15111768814469e-05,8.07658898997106e-05,5.6415732503333056e-05,3.526765497754494e-05
109,2.0238410689030752e-05,5.0937684952853175e-05,3.275260711117884e-05,1.669221300209117e-05
110,1.4523548104290188e-05,3.715057853728154e-05,2.1441625717907392e-05,1.1965148938337876e-05
111,5.72796902303608e-06,2.413234738112687e-05,1.3296855478467489e-05,4.571597727218656e-06
112,1.8521763077791144e-06,1.0589280875405884e-05,5.013678855409977e-06,1.918582286696686e-06
113,1.5522514744152034e-06,3.648054893794841e-06,1.4004976752973235e-06,1.5904926343294435e-06
114,9.055045668849988e-07,3.923246587906959e-06,2.9933220395354885e-06,8.556062094405425e-07
115,2.078669579050574e-06,2.702636114743564e-06,3.233862663106328e-06,2.3060371092377828e-06
116,2.2969119542067204e-06,1.6525243437347964e-06,2.422022973727536e-06,2.025869458013826e-06
117,2.0269148302284954e-06,2.163638107506214e-06,2.052248605965404e-06,1.9625372447646283e-06
118,1.418903108133454e-06,2.227279557658949e-06,1.8256834723912895e-06,1.2436995393106768e-06
119,8.116387588731905e-07,1.648263762951328e-06,1.2839516564038705e-06,7.953182819241908e-07
120,3.944992706646977e-07,8.531621708224274e-07,6.531444851068572e-07,3.4350464679242626e-07
121,2.1763517958777537e-07,2.807280377395784e-07,2.1717720564197677e-07,2.041256313218024e-07
122,3.260211308130309e-07,3.126174336806317e-07,2.893573500386959e-07,2.0297888769100087e-07
123,4.417921913745899e-07,3.779460883895055e-07,3.904535718770281e-07,2.1623572000904427e-07
124,1.6478384566195937e-07,1.343879988637926e-07,1.4263960596232568e-07,7.642252411824249e-08
125,1.242034815697348e-08,1.1480719346184844e-08,1.1506145096606674e-08,6.021811135511966e-09
126,1.0499531764840247e-10,1.6187389745205764e-10,1.3530933015372762e-10,9.907040400106157e-11
127,2.313086703199957e-12,1.269737287826644e-11,2.519360085831153e-12,1.345595718281523e-11
128,6.401303316973045e-12,1.9708367221110693e-11,3.330309630734519e-12,3.014881568712244e-11
199,2.290196967366941,5.191769825563639,4.639333570309748,1.0011063186688345
200,2.2615699518468944,4.526348237853652,4.108914999864624,0.6860444981341515
201,1.6503192415541283,3.755252403674066,3.4560951679625598,0.3044973260042962
202,0.9192286587192712,2.113963199970999,1.980077955059879,0.0730462719499218
203,0.5244076965606143,1.3029634395098362,1.2313718096762554,0.0395573064777694
204,0.3248382218983733,1.0065700635674728,0.9847189963742472,0.0533399335354105
205,0.2094896094015833,0.6626539346596098,0.6542943986149531,0.0528614136195916
206,0.1292387088979056,0.4089545094076468,0.3970392792096687,0.0537558305737386
207,0.0689466836150334,0.2549463540201002,0.2456719397446778,0.0604964364050436
208,0.0308134809593559,0.1523026424179823,0.1421083620321046,0.055818306795284
209,0.0115506131900427,0.0881774971056641,0.0789552459402999,0.0418207871492017
210,0.0037935288807215,0.0497777345855384,0.0444330055256319,0.0323942639810894
211,0.0022454629986238,0.0310475707995742,0.0272401183265353,0.026264652914654
212,0.0029115577194479,0.0256276679433796,0.0232801408232311,0.0181004021199606
213,0.0041329365907143,0.0203917288950637,0.01883054322594,0.0086000205974298
214,0.0049620851819547,0.0185603404254727,0.0188953140887943,0.0035331229996001
215,0.0056974563628446,0.0178110631608766,0.0188859779801266,0.0012175191854946
216,0.0053467270203257,0.0168023847411853,0.0176690346047529,0.0005941506376039
217,0.0048813815193194,0.0156896999064176,0.0161911847208511,0.0007951777489727
218,0.0042177103582965,0.0137567022972947,0.0137543995385465,0.0011730792823971
219,0.0036141654776334,0.0121348131736185,0.0118085604221046,0.0014803232857657
