Datetime,valueIBI
2024-10-10 14:37:15.032190,0.7031577
2024-10-10 14:37:15.735350,0.7031574
2024-10-10 14:37:16.391630,0.6562805
2024-10-10 14:37:17.001040,0.6094031
2024-10-10 14:37:17.657320,0.6562803
2024-10-10 14:37:18.344850,0.6875319
2024-10-10 14:37:19.141760,0.796912
2024-10-10 14:37:19.719910,0.5781517
2024-10-10 14:37:20.376190,0.6562805
2024-10-10 14:37:20.954340,0.5781517
2024-10-10 14:37:21.548120,0.5937774
2024-10-10 14:37:22.063770,0.5156488
2024-10-10 14:37:35.080000,0.6094034
2024-10-10 14:37:35.751900,0.671906
2024-10-10 14:37:36.455060,0.7031577
2024-10-10 14:37:37.205100,0.7500348
2024-10-10 14:37:37.861380,0.6562803
2024-10-10 14:37:38.517660,0.6562805
2024-10-10 14:37:39.220810,0.7031574
2024-10-10 14:37:39.955220,0.7344091
2024-10-10 14:37:40.674010,0.7187831
2024-10-10 14:37:41.314660,0.6406548
2024-10-10 14:37:41.970940,0.6562803
2024-10-10 14:37:42.705350,0.7344091
2024-10-10 14:37:43.502260,0.796912
2024-10-10 14:37:44.189790,0.6875317
2024-10-10 14:37:44.830450,0.6406548
2024-10-10 14:38:01.878110,0.6094031
2024-10-10 14:38:02.487520,0.6094034
2024-10-10 14:38:03.143800,0.6562803
2024-10-10 14:38:03.862580,0.7187833
2024-10-10 14:38:04.518860,0.6562803
2024-10-10 14:38:05.159520,0.6406548
2024-10-10 14:38:05.800170,0.6406546
2024-10-10 14:38:06.456450,0.6562805
2024-10-10 14:38:07.190860,0.7344089
2024-10-10 14:38:07.878390,0.6875319
2024-10-10 14:38:08.487790,0.6094031
2024-10-10 14:38:09.144080,0.6562805
2024-10-10 14:38:09.847230,0.7031574
2024-10-10 14:38:10.644140,0.796912
2024-10-10 14:38:11.331680,0.6875319
2024-10-10 14:38:11.941080,0.6094031
2024-10-10 14:38:12.612990,0.6719062
2024-10-10 14:38:13.316140,0.7031574
2024-10-10 14:38:14.175560,0.8594148
2024-10-10 14:38:14.894340,0.7187833
2024-10-10 14:38:15.550620,0.6562803
2024-10-10 14:38:16.269410,0.7187833
2024-10-10 14:38:17.081940,0.8125377
2024-10-10 14:38:17.910110,0.8281634
2024-10-10 14:38:18.613260,0.7031574
2024-10-10 14:38:19.347670,0.7344091
2024-10-10 14:38:20.097710,0.7500348
2024-10-10 14:38:20.910240,0.8125374
2024-10-10 14:38:21.644650,0.7344091
2024-10-10 14:38:22.316560,0.6719062
2024-10-10 14:38:23.004090,0.6875317
2024-10-10 14:38:23.754130,0.7500348
2024-10-10 14:38:24.519790,0.7656605
2024-10-10 14:38:25.207320,0.6875317
2024-10-10 14:38:25.941730,0.7344091
2024-10-10 14:38:26.707390,0.7656602
2024-10-10 14:38:27.457420,0.7500348
2024-10-10 14:38:28.144960,0.6875319
2024-10-10 14:38:28.816860,0.671906
2024-10-10 14:38:53.318000,0.7812862
2024-10-10 14:38:54.161780,0.8437889
2024-10-10 14:38:54.943070,0.7812862
2024-10-10 14:38:55.661850,0.7187833
2024-10-10 14:38:56.286880,0.6250288
2024-10-10 14:38:56.974420,0.6875319
2024-10-10 14:39:01.490250,0.6562803
2024-10-10 14:39:02.209030,0.7187833
2024-10-10 14:39:02.990320,0.781286
2024-10-10 14:39:03.771610,0.7812862
2024-10-10 14:39:04.490390,0.7187833
2024-10-10 14:39:05.177920,0.6875317
2024-10-10 14:39:05.849830,0.6719062
2024-10-10 14:39:06.552980,0.7031574
2024-10-10 14:39:07.303020,0.7500348
2024-10-10 14:39:08.068680,0.7656605
2024-10-10 14:39:08.756210,0.6875317
2024-10-10 14:39:09.412490,0.6562805
2024-10-10 14:39:10.131270,0.7187833
2024-10-10 14:39:10.928190,0.7969117
2024-10-10 14:39:11.740720,0.8125377
2024-10-10 14:39:12.475130,0.7344091
2024-10-10 14:39:13.178290,0.7031574
2024-10-10 14:39:13.818950,0.6406548
2024-10-10 14:39:14.475230,0.6562803
2024-10-10 14:39:15.225260,0.7500348
2024-10-10 14:39:16.037800,0.8125377
2024-10-10 14:39:16.850340,0.8125377
2024-10-10 14:39:17.600370,0.7500346
2024-10-10 14:39:18.272280,0.6719062
2024-10-10 14:39:18.928560,0.6562803
2024-10-10 14:39:19.600460,0.6719062
2024-10-10 14:39:20.334870,0.7344091
2024-10-10 14:39:21.116160,0.781286
2024-10-10 14:39:21.881820,0.7656605
2024-10-10 14:39:22.584980,0.7031577
2024-10-10 14:39:23.272510,0.6875317
2024-10-10 14:39:23.913160,0.6406548
2024-10-10 14:39:24.616320,0.7031574
2024-10-10 14:39:25.381980,0.7656605
2024-10-10 14:39:26.178890,0.796912
2024-10-10 14:39:26.913300,0.7344089
2024-10-10 14:39:27.600830,0.6875319
2024-10-10 14:39:28.303990,0.7031577
2024-10-10 14:39:29.069650,0.7656602
2024-10-10 14:39:29.866560,0.796912
2024-10-10 14:39:30.632220,0.7656605
2024-10-10 14:39:31.319760,0.6875317
2024-10-10 14:39:32.007290,0.6875319
2024-10-10 14:39:32.757320,0.7500348
2024-10-10 14:39:33.554230,0.7969117
2024-10-10 14:39:34.273020,0.7187833
2024-10-10 14:39:34.976180,0.7031577
2024-10-10 14:39:35.757460,0.781286
2024-10-10 14:39:36.648130,0.8906662
2024-10-10 14:39:37.538790,0.8906662
2024-10-10 14:39:38.304450,0.7656605
2024-10-10 14:39:39.085740,0.7812862
2024-10-10 14:39:39.913900,0.8281634
2024-10-10 14:39:40.742070,0.8281634
2024-10-10 14:39:41.460850,0.7187831
2024-10-10 14:39:42.164010,0.7031577
2024-10-10 14:39:42.898420,0.7344091
2024-10-10 14:39:43.695330,0.7969117
2024-10-10 14:39:44.507870,0.8125377
2024-10-10 14:39:45.336030,0.8281634
2024-10-10 14:39:46.070440,0.7344091
2024-10-10 14:39:46.867350,0.796912
2024-10-10 14:39:55.383370,0.7187833
2024-10-10 14:39:56.086530,0.7031574
2024-10-10 14:39:56.820940,0.7344091
2024-10-10 14:39:57.570970,0.7500348
2024-10-10 14:39:58.367880,0.796912
2024-10-10 14:39:59.071040,0.7031574
2024-10-10 14:40:05.274450,0.7500348
2024-10-10 14:40:05.946360,0.6719062
2024-10-10 14:40:06.680770,0.7344089
2024-10-10 14:40:07.462050,0.7812862
2024-10-10 14:40:08.368350,0.9062919
2024-10-10 14:40:09.196510,0.8281634
2024-10-10 14:40:09.884040,0.6875319
2024-10-10 14:40:10.649700,0.7656602
2024-10-10 14:40:17.931290,0.7031577
2024-10-10 14:40:18.712580,0.781286
2024-10-10 14:40:19.509490,0.796912
2024-10-10 14:40:20.259520,0.7500348
2024-10-10 14:40:20.931430,0.671906
2024-10-10 14:40:21.650210,0.7187833
2024-10-10 14:40:22.384620,0.7344091
2024-10-10 14:40:23.165910,0.7812862
2024-10-10 14:40:23.853440,0.6875317
2024-10-10 14:40:24.494090,0.6406548
2024-10-10 14:40:25.166000,0.671906
2024-10-10 14:40:25.869160,0.7031577
2024-10-10 14:40:26.634820,0.7656602
2024-10-10 14:40:27.353600,0.7187833
2024-10-10 14:40:28.025510,0.6719062
2024-10-10 14:40:28.791170,0.7656602
2024-10-10 14:40:29.572450,0.7812862
2024-10-10 14:40:30.338110,0.7656605
2024-10-10 14:40:31.041270,0.7031574
2024-10-10 14:40:31.697550,0.6562805
2024-10-10 14:40:32.385080,0.6875317
2024-10-10 14:40:33.150740,0.7656605
2024-10-10 14:40:33.932030,0.7812862
2024-10-10 14:40:34.650810,0.7187831
2024-10-10 14:40:35.338350,0.6875319
2024-10-10 14:40:36.088380,0.7500348
2024-10-10 14:40:36.916540,0.8281634
2024-10-10 14:40:37.650950,0.7344089
2024-10-10 14:40:38.307230,0.6562805
2024-10-10 14:40:39.010390,0.7031574
2024-10-10 14:40:39.729170,0.7187833
2024-10-10 14:40:40.510460,0.7812862
2024-10-10 14:40:41.276120,0.7656602
2024-10-10 14:40:41.932400,0.6562805
2024-10-10 14:40:42.619930,0.6875317
2024-10-10 14:40:43.354340,0.7344091
2024-10-10 14:40:44.151250,0.796912
2024-10-10 14:40:44.885660,0.7344091
2024-10-10 14:40:45.557570,0.671906
2024-10-10 14:40:46.229480,0.6719062
2024-10-10 14:40:46.979510,0.7500346
2024-10-10 14:40:47.760800,0.7812862
2024-10-10 14:40:48.463950,0.7031577
2024-10-10 14:40:49.135860,0.671906
2024-10-10 14:40:49.823390,0.6875319
2024-10-10 14:40:50.589050,0.7656602
2024-10-10 14:40:51.370340,0.7812862
2024-10-10 14:40:52.073500,0.7031577
2024-10-10 14:40:52.745400,0.671906
2024-10-10 14:40:53.464190,0.7187833
2024-10-10 14:40:54.245470,0.7812862
2024-10-10 14:40:55.104890,0.8594148
2024-10-10 14:40:55.808040,0.7031574
2024-10-10 14:40:56.448700,0.6406548
2024-10-10 14:40:57.167480,0.7187831
2024-10-10 14:40:57.917520,0.7500348
2024-10-10 14:40:58.683180,0.7656605
2024-10-10 14:40:59.401960,0.7187831
2024-10-10 14:41:00.089490,0.6875319
2024-10-10 14:41:00.917660,0.8281634
2024-10-10 14:41:01.808320,0.8906662
2024-10-10 14:41:02.605230,0.796912
2024-10-10 14:41:03.308390,0.7031574
2024-10-10 14:41:04.027170,0.7187833
2024-10-10 14:41:04.824090,0.796912
2024-10-10 14:41:05.589750,0.7656602
2024-10-10 14:41:06.292900,0.7031577
2024-10-10 14:41:06.980440,0.6875317
2024-10-10 14:41:07.699220,0.7187833
2024-10-10 14:41:08.449250,0.7500348
2024-10-10 14:41:09.183660,0.7344089
2024-10-10 14:41:09.839940,0.6562805
2024-10-10 14:41:10.527480,0.6875319
2024-10-10 14:41:11.293140,0.7656602
2024-10-10 14:41:12.121300,0.8281634
2024-10-10 14:41:12.855710,0.7344091
2024-10-10 14:41:13.527610,0.671906
2024-10-10 14:41:14.230770,0.7031577
2024-10-10 14:41:14.996430,0.7656605
2024-10-10 14:41:15.762090,0.7656602
2024-10-10 14:41:30.559650,0.7187833
2024-10-10 14:41:31.215930,0.6562803
2024-10-10 14:41:31.887840,0.6719062
2024-10-10 14:41:32.669130,0.7812862
2024-10-10 14:41:33.450410,0.781286
2024-10-10 14:41:34.169200,0.7187833
2024-10-10 14:41:34.825480,0.6562803
2024-10-10 14:41:35.481760,0.6562805
2024-10-10 14:41:36.169290,0.6875317
2024-10-10 14:41:36.934950,0.7656605
2024-10-10 14:41:37.653730,0.7187833
2024-10-10 14:41:38.310010,0.6562803
2024-10-10 14:41:39.028800,0.7187833
2024-10-10 14:41:39.763200,0.7344091
2024-10-10 14:41:40.544490,0.781286
2024-10-10 14:41:41.247650,0.7031577
2024-10-10 14:41:41.903930,0.6562803
2024-10-10 14:41:42.622710,0.7187833
2024-10-10 14:41:43.404000,0.7812862
2024-10-10 14:41:44.185280,0.7812862
2024-10-10 14:41:44.904070,0.7187831
2024-10-10 14:41:45.560350,0.6562805
2024-10-10 14:41:46.232250,0.671906
2024-10-10 14:41:46.919790,0.6875319
2024-10-10 14:41:47.654200,0.7344089
2024-10-10 14:41:48.372980,0.7187833
2024-10-10 14:41:49.044880,0.6719062
2024-10-10 14:41:49.685540,0.6406546
2024-10-10 14:41:50.310570,0.6250288
2024-10-10 14:41:50.998100,0.6875319
2024-10-10 14:41:51.763760,0.7656605
2024-10-10 14:41:52.591920,0.8281634
2024-10-10 14:41:53.404460,0.8125374
2024-10-10 14:41:54.185750,0.7812862
2024-10-10 14:41:54.873280,0.6875319
2024-10-10 14:41:55.545190,0.671906
2024-10-10 14:41:56.248340,0.7031577
2024-10-10 14:41:57.014000,0.7656605
2024-10-10 14:41:57.795290,0.781286
2024-10-10 14:41:58.529700,0.7344091
2024-10-10 14:41:59.201600,0.671906
2024-10-10 14:41:59.857890,0.6562805
2024-10-10 14:42:00.545420,0.6875317
2024-10-10 14:42:01.295450,0.7500348
2024-10-10 14:42:01.998610,0.7031577
2024-10-10 14:42:02.654890,0.6562803
2024-10-10 14:42:03.326800,0.6719062
2024-10-10 14:42:03.998700,0.671906
2024-10-10 14:42:04.748740,0.7500348
2024-10-10 14:42:05.514400,0.7656605
2024-10-10 14:42:06.186300,0.671906
2024-10-10 14:42:06.905090,0.7187833
2024-10-10 14:42:07.702000,0.796912
2024-10-10 14:42:08.514540,0.8125374
2024-10-10 14:42:09.248950,0.7344091
2024-10-10 14:42:09.920850,0.6719062
