,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
0,6702.511742875773,6599.422292901698,6488.78870381783,6431.374749314083
1,3261.76940646022,3271.962767281744,3299.8514655609383,3249.494879356499
2,3385.9263561745684,3255.5913540404867,3333.280459745064,3312.886128882772
3,8415.07351432693,8507.90634902942,8416.355836553535,8339.894816589858
4,2283.095006799116,2297.3769618380243,2274.004647492446,2238.9198420980265
5,2773.8699375124365,2816.348987991828,2780.9560657448737,2781.650878043423
6,6690.390159344078,6755.712058818789,6621.693074198395,6568.900108673235
7,1641.629417831225,1632.4606486629962,1617.524519047471,1617.909299931793
8,1137.834956162654,1100.3536458270523,1117.6846876507543,1129.270754832069
9,3190.770712764609,3208.477622806357,3218.799630429125,3177.445963059069
10,4214.520211474708,4336.931978967197,4252.172507924006,4261.097101988002
11,4358.809504246964,4381.631205140409,4349.5343506626405,4258.739267602359
12,2724.6291806547897,2650.332601320024,2665.6055882047594,2622.7253653687285
15,5998.847023012228,6014.475423350157,6072.437107980275,6046.763860041622
16,7845.902545385723,8020.119427556674,7997.314420827726,7952.033385199344
17,2005.7188087038792,1945.1849744365763,1955.0753636264888,1948.4326171240784
18,2586.2096283838123,2645.741287825036,2618.3587707375964,2608.892106291263
19,3090.385979985538,3155.7419670627773,3108.281657578027,3114.8328121381924
20,4373.962480268536,4426.982455413275,4354.123983477671,4322.109177155247
21,1445.160890480333,1400.277263399846,1364.3162543518736,1376.2598163432654
22,2261.1018589914524,2238.345348649505,2239.692380029609,2233.800504674334
23,5317.810232575775,5391.50011280098,5357.2509245793335,5296.466521737596
24,1595.8618579551492,1644.4466916618785,1584.688896103255,1587.7304323899064
25,2880.4953732548843,2908.1784037403186,2839.043085490041,2833.2383282507394
26,2669.382271130616,2875.052782430508,2770.0584137625046,2751.4820169082864
27,4111.025003483764,4068.908581595029,4049.3539528170186,4090.1761744491832
28,2723.263313588096,2734.299450499152,2749.2938109274246,2654.888332018317
29,2975.479187863253,3167.907122189213,3011.193814103445,2993.714110197854
30,4714.916695213395,4724.63689043416,4610.991145337554,4612.87354116498
31,4984.155783830497,4919.141244372261,4902.37805084404,4874.509175601266
32,4778.032207043176,4844.867689703382,4712.709294900112,4736.154573387778
33,6609.896444085332,6617.33275744914,6689.978090966337,6634.1394214640695
34,6482.221710112441,6625.577745661893,6527.196432307277,6420.940474441196
35,5326.974125648709,5562.410989067973,5370.67985581476,5303.11881998786
36,1797.5489078489477,1725.514932288991,1713.832321676372,1653.5784185377356
37,3620.2431608393854,3585.2230281098136,3642.7891689589096,3664.122876327682
39,2239.4894829462883,2254.6492685335834,2265.071910242603,2280.844329769518
40,4662.34771818991,4698.600855331199,4618.0119678563005,4623.879160172371
41,6483.56924766586,6448.800723863642,6472.750322033702,6480.740470773731
42,3901.110809233478,3919.105315850221,3775.2446051890665,3699.5072989105806
43,2033.736565417821,1987.8117333495347,1970.1735592739751,1994.7214810351743
44,5605.630682643756,5573.432068611543,5571.433285464081,5484.1636341621015
45,2206.9072497704806,2168.1232992520145,2130.8910966928293,2102.4370125863798
46,1943.65136012936,1899.9400703921344,1938.7121385213245,2017.3076249457224
47,6660.072603711215,6548.084941789161,6436.362726018941,6485.175720079224
48,4885.414285697638,4767.927872547671,4769.537950567005,4771.266795509223
49,1886.224333282019,1872.360992466551,1850.1910193762133,1848.8524151107224
50,6892.7112990683145,6940.536351832884,6762.189069792467,6767.678315975412
51,3075.2064029454536,3110.705426772517,2993.080046455896,3051.2122727997657
52,2581.032501110346,2595.937586837702,2573.9538840739333,2593.5965504570304
53,3473.9024762664358,3562.4293034420766,3496.298248962737,3467.07017497355
54,3253.647561498164,3329.7512968742453,3296.7362439643266,3268.287834137873
55,3211.849249741685,3186.8735503645257,3141.3926870676914,3160.157753470105
56,2102.299338555525,2115.7678716313617,2129.1817647375897,2167.1041759474447
57,3438.3425779335066,3542.9200022850546,3478.730153155382,3442.9071282307027
58,2610.095163933045,2590.348544660174,2630.4359434325465,2624.6178244827147
59,2271.18133491731,2285.6531503087217,2250.4061192615845,2231.3769247379687
60,6135.780565243088,6318.148127772543,6029.824670575649,6091.818137717413
61,4093.746577931918,4187.700785030939,4165.339463297781,4129.16972338861
62,1708.6755035942747,1714.6081710334022,1666.488414092673,1681.864982354555
