,Beta_C1,Beta_C2,Beta_C3,Beta_C4
79,4277.463866353283,4342.869205122631,4242.826501225182,4263.549253606424
80,4441.541530785666,4608.469324479438,4391.788565095979,4390.067026331436
81,3437.5533290098338,3537.1584735158744,3422.261889130682,3434.2474289016413
82,6993.793471038992,7066.409129712703,6911.394757419909,6943.772807472994
83,4499.11942978265,4589.6412561199495,4504.44554507727,4498.819902065249
84,5408.528560600434,5567.00150505445,5401.117430347032,5414.013982752648
85,5677.451064387135,5785.495741460477,5628.7979406496,5656.19710406841
86,4436.069887967247,4569.624505741726,4388.836444315501,4384.792908892958
87,5847.049499394197,5995.2663085539325,5865.443955119255,5867.957824907981
88,5121.915777835142,5309.006621071574,5061.958103003627,5067.322450905808
89,4285.642482206076,4363.913694662693,4247.592768405231,4252.968686516036
90,4382.71417955034,4481.465051136776,4388.128097110067,4388.453241141043
91,4609.335236306174,4767.142260314485,4612.677113462984,4589.437965588009
92,5624.26191092514,5779.333850290475,5631.10801940703,5618.354430188476
93,3799.338679158354,3913.7809847108574,3784.026011222092,3767.7595943968654
94,6264.4236857082615,6420.117009009842,6246.705556965824,6255.023789509029
95,3238.2431347125294,3366.6448957501407,3250.678855259988,3232.579096476572
96,4914.673621151189,5060.329738406979,4892.250909122907,4885.423691949844
97,5366.669294736104,5534.137991123072,5362.503459303464,5358.82828735266
98,5041.894530551547,5169.847918092378,4999.460255607178,5025.862035035095
99,5154.76056854995,5291.778469046176,5158.1090842724025,5162.850819573375
100,7572.983064213332,7788.097953142053,7501.631901627082,7484.413875298385
101,4201.051714747772,4308.927384433307,4203.294472325083,4190.859661958133
102,4213.540604819406,4343.209071822888,4232.401333260126,4236.301601664384
103,4459.877446528949,4632.273181750403,4487.425220565444,4475.780433091154
104,5486.775654436106,5582.056110548696,5445.840462080166,5450.933985059623
105,4010.516302207525,4152.405971464989,4002.798517075664,3998.355909478765
106,3126.739012153108,3228.268901082214,3114.241309328001,3089.9134709427776
107,3008.4738343164936,3063.302337358784,3005.41375630437,3003.8075651770287
108,5506.6193112008605,5621.516681300819,5489.146696037719,5482.538944944261
109,5882.800537310548,6076.883717290146,5905.708821091706,5893.226387710614
110,5795.50898910428,5997.570911379199,5821.94187891321,5810.158004605796
111,8386.96535446299,8581.094719421786,8338.216825017238,8352.520810576758
112,3504.410209663221,3635.21973896087,3511.0304163103947,3510.187898196599
113,5046.9554387414255,5229.934870526067,5046.013672681688,5057.3950797974585
114,6821.075009238929,7035.085078743325,6800.923500116526,6781.27002547476
115,6013.896384226068,6184.152350526192,5980.566197997259,5984.947516100176
116,7153.829045243092,7303.346745941404,7129.7068900775885,7121.525004683803
117,3064.350045736367,3145.497708129037,3064.434014781051,3053.0385262056006
118,6344.057759889106,6514.1335384383965,6339.458408162164,6330.654190953599
119,8846.746441141278,9119.65666269929,8788.328938239816,8801.136105298901
120,5535.087943240753,5695.415092181905,5504.809545419526,5514.575836073297
121,3361.5409553041786,3442.192189460803,3348.116242576373,3331.666688513832
122,4486.767344536993,4635.222773031137,4482.498394373627,4481.067043472581
123,5849.855228340624,6006.2606282550405,5843.569071974584,5833.6836770826185
124,5886.225005734765,6074.960634599721,5876.289886332768,5876.807666563315
125,5066.108444488574,5206.886605810394,5045.179595951781,5045.840184156036
126,7878.5560510467585,8147.684717739622,7876.892151044031,7891.523870817464
127,8502.498041370902,8801.655912257133,8484.728246495166,8496.059939804294
128,4432.375573342363,4578.376087937736,4422.6325376952045,4422.357737584428
129,3464.683053286252,3559.321955514142,3435.0689374234,3441.8253676211734
130,5302.560344775564,5435.714191723635,5276.764430662183,5269.65910921977
131,3618.652830679658,3752.1919176710544,3611.444579283207,3604.4755631948847
132,5637.476377219687,5762.795926619909,5598.950414130287,5582.28675013704
133,6462.686653623508,6626.950218384451,6448.625118897259,6429.969947536058
134,5257.936713683837,5440.186141959639,5262.474962208863,5250.8499717660925
135,4419.675805344016,4585.457596687077,4418.233123976693,4419.549297976877
136,4210.272641287691,4316.762962375939,4178.58720136756,4184.901439244771
137,5582.651899825894,5757.862167084779,5584.352863720789,5576.284543865154
138,3162.8683816454222,3284.400550105589,3151.3140224385866,3156.9562488359084
139,3215.739026115035,3283.1683386454883,3186.7066930306937,3186.730649187687
140,4414.644972231737,4575.492389351013,4402.857637284384,4399.101171667814
141,3887.4982250117255,3982.207693697363,3867.681398345664,3864.58499154589
142,4037.0101759866634,4191.656259502335,4038.39711296256,4059.7344605299454
143,5546.366946187788,5646.441958323448,5475.462451610516,5484.712763837815
144,3878.404781109463,3985.756396590633,3879.7320202688215,3879.536023875709
145,3371.385863603351,3464.804251852496,3370.507238660579,3378.4258601378806
146,5141.056537104938,5265.924242388994,5110.474637783871,5096.783576245997
147,5540.348988747169,5696.461978331752,5530.550052449516,5533.783717387144
148,8429.318187029088,8682.97597702081,8404.817001290885,8421.96775347064
149,2181.1951630965186,2261.7437412906547,2168.3230248725376,2167.2438504759866
150,3279.3866727321174,3366.0721446119906,3252.58555748669,3260.600903386892
151,3866.1892931343855,3954.2785733505184,3835.42257825798,3825.892966892786
152,4834.628352113517,4984.360753959823,4840.662265336738,4837.9946461366
153,5590.452622269693,5693.555918544113,5540.800946403034,5540.7415041393415
154,4918.935299045979,5035.812867704069,4889.052543077102,4883.6155628107845
155,6039.675871404245,6212.363645778099,6018.274425716985,6012.909445978126
156,6434.380440211092,6601.911577059916,6406.408389625712,6372.6779440700975
157,5167.906813958978,5411.014769419514,5213.761294599695,5159.687894315573
