,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
3,623.5012963933898,11458.397939692297,379.6257046863745,408.0863985837548
4,517.8559530248513,7654.805610779313,312.86441173148694,337.7131894003716
6,869.30734466678,11118.14597699396,576.7605551752577,579.7413435609021
7,849.2271963288326,8988.852204671462,557.460031310024,604.5594306187954
8,1237.5769375040798,11181.01377344007,833.9866341670048,869.2283812776216
9,991.4934715897512,8663.656450374972,660.9991719236544,704.8541885665081
12,1663.8032149827725,10615.488898610834,1152.9255988232271,1206.9080979123853
13,1184.3155643915818,6975.488542205053,822.7029630095079,819.0295920538314
14,1695.4913839656572,8809.761086405546,1135.9463615172713,1223.8413538074094
18,1383.0148548807576,5915.5745786936695,946.4648780360336,999.7006744295636
19,2896.9285099809167,11579.526352867351,2114.175293083048,2196.096185790308
20,3370.8933963058016,11558.276144425756,2416.2324643650927,2476.5410395038552
21,1496.8273270064526,4688.608962425684,1036.1879290124457,1126.1871885364767
22,2350.450064391869,7418.0000534206865,1673.7766759869403,1704.262808928274
23,2214.5494736827304,6530.332940402372,1567.2337863966488,1580.517323127794
24,2057.347594209682,5820.367248331906,1477.1358339303383,1495.0049400680032
26,2305.246666661607,5456.2752081182425,1628.1574800054134,1685.848505596332
27,2508.162963918709,5780.187537591023,1773.11709193534,1872.9481493078144
28,2507.2808340927904,5596.35414284813,1787.383783921708,1864.928094361896
29,3918.986686542355,9257.150281857965,2749.3693354659417,2846.7915124633246
30,2392.700798808871,4893.27933152368,1668.5170973701656,1692.0736723165246
31,2312.899120806962,4720.9040682238665,1658.5272842339573,1678.9533725085162
32,2836.5651301301064,5761.439439222846,2091.7080487708627,2082.6359116326626
33,1973.578229727752,3677.70466318745,1406.3428095666595,1425.5774576912568
34,1824.4704352869464,3251.579815511281,1300.8652892201278,1325.5148349102312
35,2028.7997155728317,3472.8387748114155,1429.6408322626844,1478.999705389493
36,3807.269013326131,6554.280275817439,2622.109841167375,2662.64537261196
37,3593.01321666012,6217.828466977285,2556.1969410980587,2582.6991152107507
40,2295.392690113941,3433.321997724888,1673.963009879337,1545.276219140259
41,2138.478046999164,3195.1576637176863,1570.4801273389846,1456.9682499576825
44,2040.163947409682,2724.259419848696,1463.3010831036408,1431.817100078218
45,1232.5012865524986,1558.9549909170191,913.5762307740353,924.0483378091484
47,2552.6199909429506,3257.216953807017,1790.5752534052754,1810.2606405733627
48,2219.6764149784085,2705.009914915467,1558.409642548916,1572.4176988211852
49,2380.207333951016,2851.593749300022,1671.3669392023708,1655.8838877783664
50,3781.240913068257,4448.518931371889,2686.0796966983653,2688.08562270705
51,3314.6776964258106,3827.561699042252,2214.219758161452,2274.8025400221586
52,2407.203710785669,2888.691837404385,1560.611879693079,1543.682460449214
53,1712.3890292495817,2068.9347690191385,1127.453605200921,1103.0813291806403
54,1807.681321622252,2048.886351660913,1167.7154566144002,1179.995080198144
55,1981.4717169370635,2316.9813228492585,1258.3105853761997,1250.823320938934
56,1543.277943658314,1828.7087066956517,1032.8807951351844,1009.9023064943505
57,3209.1283779059845,3729.98490946628,2109.0164230867085,2065.4956776399376
58,3572.468555663821,4055.752776741236,2372.570736628223,2311.007855481909
59,1929.8053108209624,2193.1326979300984,1240.734126166757,1241.8248566317832
60,4581.1832642692525,5247.661122120489,2968.27169515294,2874.085796713218
61,2876.6172496419067,3353.216528076576,1844.7010720137164,1812.649205525047
62,3124.16397951638,3464.2091311636127,2012.328611986004,1931.5640420298685
63,2167.8425262458686,2402.814324494545,1410.8102077470596,1379.5674994865988
64,2220.9879873651,2462.045182793488,1415.7814335673263,1360.0589893312504
65,3017.499908684426,3385.6367326527466,1875.8013827532725,1854.1034392933805
66,2468.3710738221966,2751.5175146828064,1521.1872985930377,1516.8750409206125
67,2839.6024849009896,3214.2407835103318,1779.0119198921243,1762.451057880099
68,2953.459965285835,3257.002061516784,1796.823505480737,1785.2502363591725
69,2206.476023528278,2460.446175404185,1370.1652311632365,1360.5163095734715
70,5059.972043082606,5755.595042934803,3113.7646220903102,3100.115385602492
71,2767.2472882436523,3049.897444942407,1755.8119826630418,1706.5312471561797
72,3210.377983128024,3496.881182023816,1951.2932397522036,1969.260406715406
73,2186.121349764549,2420.4494945404854,1344.723412445729,1372.0802543867137
74,3556.478919939335,3968.794271913001,2096.337337655869,2180.185140408194
75,3629.130786005199,3882.886099104304,2404.943464242935,2347.7424101577208
77,2753.468982639557,3055.729009064164,1729.511469892022,1704.1696136566866
78,2933.0295243541223,3181.87604361094,1873.9447163672755,1872.3319689398895
79,2013.4512939427589,2194.869861368404,1294.360317336534,1269.0438678353332
80,2808.80702920182,3165.2368448829884,1806.9927839314391,1799.1617485102304
81,1551.3492495642618,1751.6050960258758,978.3153875953204,966.8017418084914
82,2718.564838805545,2968.421006758511,1793.6506229992683,1731.2686623306342
83,4690.687757534506,5095.852947510099,3197.9987675573416,2964.053214907708
84,4169.81307989684,4593.2651796050495,2757.292831228042,2568.7947238707684
85,3336.200950743212,3664.222133956954,2203.8717114505675,2073.2587326591847
86,2610.655946710167,2864.0917664957697,1692.484961507675,1590.6099267652785
87,3518.2154603680783,3859.192680943918,2231.423147924055,2123.675738329596
88,2774.1664452136984,2977.7405138465488,1793.2019002310003,1704.5228530179631
89,3243.400326089295,3593.3725748416978,2026.8625046970385,1967.7205914278727
90,2895.3708475467784,3215.868931283422,1816.731080016916,1713.3658526372506
91,2262.6090790201506,2460.8139222795025,1410.3718837204542,1349.4274444647745
92,4424.654310854618,4739.210143485556,2681.773203685165,2516.791671738483
94,1968.5706335486911,2233.5055843532573,855.533038105957,1026.5077711916738
95,2684.7686041513684,2922.265678465863,1146.948480937965,1508.8838413334447
96,2703.8486974950924,2822.9486501450947,1155.483745968416,1587.654040474392
98,6509.661466901027,7100.152373072932,2529.846712173756,3513.3124558260606
99,1991.6660857511704,2106.2853992804808,735.4262442810929,1081.2499152338949
100,5890.377152038364,6308.068024689076,2222.6983551302005,3244.669428955566
101,2363.365978430957,2550.3342571826893,871.0153106988292,1266.4876877290233
103,1149.532946986819,1225.1014606244755,448.2272647149187,658.2415775533996
105,4138.900178297396,4526.468479018917,1723.731166038186,2316.033974392473
106,3598.6627753158527,3896.757436371425,1327.668426723564,2036.6086028201887
107,6121.757366239084,6543.429220986921,2175.6278941852324,3477.6822913086075
108,2708.542461414028,2863.2296211600287,927.0064126924632,1475.303076308698
109,5174.963851682195,5547.654468180383,1827.8565853306088,2941.0187919575224
110,2763.328700246356,2900.841191086844,912.0792774496756,1523.092048282788
111,5130.316664510962,5505.3919243961245,1722.9408630669902,2703.9304349316158
112,2038.8495868780249,2189.656495371883,666.2630415127053,1098.8772986099018
113,3203.593857910617,3460.780862725914,1070.5903958406316,1720.6996158212644
114,3162.08684191218,3369.772232363244,1098.9193391065876,1802.1919049429105
115,4716.89735284301,5044.882433139179,1824.878180430248,2249.160681271323
116,5273.0655062064425,5731.9663205982415,1939.3003951640585,2942.211088976842
117,2105.973735458144,2252.815312805554,776.9671786732187,1123.0108242655472
118,3741.864431809291,3988.563186233436,1445.215208031969,1849.002361658957
119,4671.6830446728445,4959.167529083107,1703.5985052588162,2346.499851157469
120,6618.080105088988,6995.453646735181,2108.738242435435,3361.610745360801
121,2702.009064156928,2852.0977857417174,884.020494025888,1424.0355360031065
122,5640.9057629774,6092.346872143035,1866.784166229142,2996.414643711995
123,2370.967622027448,2557.1285368133185,766.868024468961,1252.7429926099242
124,3641.864264523827,3884.0529008187455,1292.215869759681,1946.486410974512
125,2207.2066599391264,2369.3956673234225,696.8877644935102,1127.9095789449946
126,1964.5812596267235,2041.207692789568,678.1507596792624,1045.730376171183
127,6997.533276413043,7570.424579563547,2368.2974160767103,3701.6106681776782
128,2033.7542829712684,2198.2876070075563,679.5355128720987,1064.6481477144566
129,2560.5480923559376,2714.1035956754863,797.815448030087,1315.5495666655302
130,1865.561757636247,2014.863460232346,588.4201264999465,957.227788100406
131,2727.629994839527,2852.132324339961,855.3534422058375,1352.4730721949588
132,2012.7709300754836,2119.496487515379,593.2401508424084,1003.3366283737572
133,3336.353673963459,3476.28845064146,1017.3127007212676,1637.0430911755666
134,2599.0108946522487,2656.5846928621195,743.1770655284645,1238.0728586682371
135,4165.465399106938,4365.769496349114,1251.6398784734329,2017.594322400244
136,3830.0131676619394,4068.3079437592937,1152.7094357856088,1886.685530143866
137,2726.626795375093,2864.5148154998515,793.8633863160642,1257.508399718599
138,2482.5060206070657,2641.52931969172,722.9627238118157,1163.507566430399
139,2267.9959119002538,2440.329187151553,638.3419024778925,1032.5320378300926
140,5812.734683455251,6099.892634410792,1736.1744588040197,2709.163849923922
141,3322.161814347417,3524.8421903753256,989.296457948877,1558.4018552201671
142,6907.243153994861,7339.04960982742,2189.2482499583684,3228.8583771326603
143,3502.995830893449,3761.611850410866,1095.7734798032347,1616.058047520475
144,1935.983786255025,2062.3989507314286,589.0695261751878,922.259617334866
145,6752.787032393118,7116.751570588074,1936.3993048593013,3110.562981816493
147,3338.252090489421,3479.808514091473,2173.938325535184,1456.172789447022
150,5736.61154556851,6113.921697239162,2661.98960200631,2542.7271719410846
153,3281.2909634027483,3490.224308381378,1390.1610054783807,1473.979250796735
154,2046.402240858689,2170.566968825904,842.1391634590386,891.1666864732385
155,3360.7259428946154,3568.3881973140296,1367.872012568539,1492.231212213606
159,4253.359841768492,4460.034346256789,1908.8344319005585,1817.619840879824
160,3425.591936428241,3599.5296437783954,1525.288508920134,1435.6305748826826
161,2906.171749289289,3058.384753398097,1274.2532323826254,1184.3453047864673
162,3978.086090687989,4139.71107492175,1916.9139111982563,1722.8704110972112
163,5958.698719420929,6314.023787719052,2745.182198853989,2431.075788394133
164,3171.723985886035,3314.2826995502314,1421.2441490315252,1278.9797612191414
165,1637.1792863124974,1737.6352073300968,726.9227705024989,696.0764157917314
166,6840.615057178643,7206.079505429128,3265.546806156304,2828.8248149064466
168,2801.9057266216278,3007.3168273505344,1301.162236800346,1207.7124667007818
169,7816.689908475327,8340.826198232273,3407.238025750178,3220.5949236098936
170,2508.461457509248,2600.87037307848,1127.8424684572744,1067.3940534727974
171,1625.8817251789094,1748.0982054557826,696.9567396877072,657.280458257115
172,3687.321224361565,3927.294833988,1576.719675720754,1510.1952619297708
173,2337.845606316892,2504.0649025777966,958.6949356835,940.801920193756
174,1816.1899854257797,1927.737556407952,731.260399215741,714.4302550547799
175,3655.1299354121543,3910.1595581784313,1443.8999959156367,1414.0557229044796
176,2916.286586986468,3078.1125228685933,1140.2316139429297,1147.8570237287358
177,1323.1534245075118,1372.8731236013623,521.1256868662764,534.6445739768881
178,2304.7443532654192,2405.3078027833008,911.7989753582532,931.4030858654864
179,5384.715367517779,5846.084294848109,2158.274823516896,2081.3044215011832
180,2354.2414879440835,2489.619969293049,935.67227183059,913.0036401784836
181,2802.8529942521805,2976.106864103703,1054.7769549120935,1068.037312709926
182,1471.0457686648956,1563.8789424798297,567.3057606106989,568.3550146513209
183,3515.1211865808564,3844.3627275018976,1404.830367672345,1409.7042655533835
184,3093.124814127435,3294.7850484196106,1132.6964654355606,1176.70239540615
185,5408.569756658853,5705.946386339187,2030.6573244359236,2062.293628415636
188,2375.7694705083272,2524.646971121832,832.6990074449518,905.8040564150822
