,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:33.683073,1412.669412085988,67316.25510286189,893.3067271744341,950.2859138463566
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:37.887437,1086.3251442689127,34866.30948829397,648.8733899825299,728.2579153910904
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:41.203950,940.3649490154539,22126.011594468087,581.0372395101704,611.1009233164741
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:44.664670,623.5012963933898,11458.397939692295,379.6257046863745,408.0863985837548
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:48.097275,517.8559530248513,7654.805610779313,312.86441173148694,337.71318940037156
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:51.573188,1011.1097904428025,15334.660815790154,649.3523435146901,653.4050673125292
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:54.906404,869.30734466678,11118.14597699396,576.7605551752577,579.7413435609021
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:25:58.401470,849.2271963288326,8988.852204671462,557.460031310024,604.5594306187954
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:01.751633,1237.5769375040798,11181.01377344007,833.9866341670048,869.2283812776216
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:05.118005,991.4934715897512,8663.656450374972,660.9991719236544,704.8541885665081
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:08.407737,2059.3688500559,15349.469526137174,1412.2236084988836,1461.3425169874558
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:11.774908,1958.4264908757195,12724.907951698477,1320.5785544931719,1386.7121538347444
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:15.093843,1663.8032149827725,10615.488898610834,1152.9255988232273,1206.9080979123853
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:18.509879,1184.3155643915818,6975.488542205053,822.7029630095079,819.0295920538314
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:21.928372,1695.4913839656572,8809.761086405546,1135.9463615172713,1223.8413538074094
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:25.383546,37909.58095290549,256411.7766140936,31307.912343642933,27985.46149022238
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:28.837929,2586.6057169084233,13560.191567282467,1905.5158409945257,1882.9625571131473
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:32.330161,4412.266201318626,21412.12491349242,3385.356432343652,3303.8215581626037
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:35.832094,1383.0148548807576,5915.5745786936695,946.4648780360335,999.7006744295635
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:39.316073,2896.9285099809167,11579.526352867353,2114.1752930830476,2196.0961857903076
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:42.745659,3370.8933963058016,11558.276144425756,2416.2324643650927,2476.5410395038552
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:46.211927,1496.8273270064526,4688.608962425684,1036.1879290124455,1126.1871885364767
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:49.552571,2350.450064391869,7418.0000534206865,1673.7766759869403,1704.262808928274
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:52.965507,2214.5494736827304,6530.332940402372,1567.2337863966488,1580.517323127794
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:56.334947,2057.347594209682,5820.367248331906,1477.1358339303383,1495.0049400680032
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:26:59.774649,7137.270665914878,21405.151546761546,5463.167450027683,5315.592544370103
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:03.223614,2305.246666661607,5456.2752081182425,1628.1574800054134,1685.848505596332
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:06.651065,2508.1629639187095,5780.187537591023,1773.11709193534,1872.9481493078142
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:10.006642,2507.2808340927904,5596.35414284813,1787.383783921708,1864.9280943618962
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:13.391816,3918.986686542355,9257.150281857963,2749.3693354659417,2846.7915124633246
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:17.391432,2392.700798808871,4893.27933152368,1668.5170973701656,1692.0736723165246
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
2024-11-11 19:27:20.781664,2312.899120806962,4720.9040682238665,1658.5272842339573,1678.9533725085162
,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
