,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:36.961405,8651.980532374691,16534.292627502866,16012.451564918687,16885.35208916438
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:40.354698,7224.329800903715,7718.222594167182,6352.657825478906,8979.697766074656
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:43.490266,95490.74782837056,102785.73708135917,81287.6693654914,124585.23560146363
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:46.812693,490487.4308360466,530060.5644046045,421302.53295101324,634381.8590483686
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:50.092272,101766.36038656038,109272.84775849512,86388.34219819467,133086.37060718672
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:53.430464,12650.756675366027,13499.308632281574,11153.456247303457,18453.856348778536
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:56.679586,122684.98447792226,132029.5348319781,106431.45437521204,160282.93403449052
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:15:59.949403,10594.128355302155,11220.425408896182,9389.683363189632,10982.782091209849
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:03.338820,54523.372272706525,59089.614731254085,47502.27720200665,74503.01241145711
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:06.689024,77113.60523937673,82914.67630906902,67081.323906744,105815.623183919
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:09.958040,205921.47416877266,221832.7664197838,176465.45432376544,268426.78480460163
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:13.363964,53953.22167371455,55528.16489572414,46566.35722640006,40848.595408971436
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:16.605202,25791.411366926655,26925.96947304845,21221.651062958514,38047.14346816568
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:19.854171,305939.7523355314,329845.8536581532,265224.3075158231,392749.774365677
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:23.008668,193129.48545546515,207220.15215055968,167852.21491133745,219778.72730990525
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:26.263850,89947.52306277733,94927.09561210184,77991.59944965037,99866.98806159527
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:29.619047,55918.09996364912,58186.30640792723,49095.263341700615,64538.66821368152
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:32.953954,15380.621656996012,15619.835691022632,15168.781544214606,18432.76724205737
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:36.383787,15218.212281540798,15045.798521802275,15778.47014791183,13235.06734098287
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:39.811833,16145.443007858274,16231.16477635476,17726.456771259534,12420.594369577027
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:43.161285,16173.236494877607,15487.355622491217,16094.815984769142,16537.43194486347
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:46.616593,22714.084918013723,23572.01305171505,23684.545057760188,14624.38942111975
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:49.969691,20529.50974136884,20571.857410567143,20844.11719756894,19363.236574150484
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:53.360209,22865.467706927455,22621.558654180124,22852.004339589228,21642.456533997687
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:56.607912,24561.672585435463,24718.301353018247,25610.38058792077,27841.13599540085
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:16:59.914536,23870.717034304518,24122.740460441717,25235.162646191777,35527.078970968825
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:03.249757,2726826.6240595593,2912490.193635124,2432834.091107876,3206063.79876901
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:06.629276,31891.39886907444,33149.050827931984,32974.701839733214,30367.63396002814
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:09.864491,29951.321444419056,32858.20201947615,36263.403788348725,36933.55669657696
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:13.152820,34236.8906654263,34512.04314221953,35139.12600571696,36240.926095695824
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:16.534893,39409.12159468732,37892.97379684356,37238.97646796777,42231.44881710971
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:21.406252,41215.51934399331,42888.32209660749,40036.134688752776,60451.61826053013
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:24.654333,120772.10858247688,126839.44297640618,111258.27924728187,153799.37439645143
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:27.899720,45232.887598610316,44723.31983680216,45981.860813324616,48701.620242605866
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:31.179472,48037.4697051571,47421.89809360045,48917.05269004435,51317.38056465561
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2024-11-11 17:17:34.653631,56771.31828107545,56934.685524829576,56775.85218910641,54798.614171566085
,Delta_C1,Delta_C2,Delta_C3,Delta_C4
