Datetime,valueACC
2024-10-09 13:50:18.593130,"[-49, -3, 40]"
2024-10-09 13:50:18.624380,"[-48, -3, 40]"
2024-10-09 13:50:18.655640,"[-49, -3, 41]"
2024-10-09 13:50:18.686890,"[-51, -3, 40]"
2024-10-09 13:50:18.718140,"[-50, -3, 39]"
2024-10-09 13:50:18.749390,"[-51, -3, 39]"
2024-10-09 13:50:18.780640,"[-50, -3, 40]"
2024-10-09 13:50:18.811890,"[-50, -3, 39]"
2024-10-09 13:50:18.843140,"[-50, -3, 39]"
2024-10-09 13:50:18.874400,"[-51, -2, 39]"
2024-10-09 13:50:18.905650,"[-51, -2, 39]"
2024-10-09 13:50:18.936900,"[-51, -1, 39]"
2024-10-09 13:50:18.968150,"[-51, -1, 38]"
2024-10-09 13:50:18.999400,"[-52, -1, 39]"
2024-10-09 13:50:19.030650,"[-51, -1, 39]"
2024-10-09 13:50:19.061900,"[-51, -1, 38]"
2024-10-09 13:50:19.093160,"[-51, 0, 37]"
2024-10-09 13:50:19.124410,"[-52, 0, 37]"
2024-10-09 13:50:19.155660,"[-51, 1, 38]"
2024-10-09 13:50:19.186910,"[-51, 0, 39]"
2024-10-09 13:50:19.218160,"[-54, 1, 38]"
2024-10-09 13:50:19.249410,"[-55, 2, 37]"
2024-10-09 13:50:19.280660,"[-53, 2, 37]"
2024-10-09 13:50:19.311920,"[-51, 1, 37]"
2024-10-09 13:50:19.343170,"[-51, 1, 38]"
2024-10-09 13:50:19.374420,"[-51, 2, 38]"
2024-10-09 13:50:19.405670,"[-51, 1, 40]"
2024-10-09 13:50:19.436920,"[-51, 1, 40]"
2024-10-09 13:50:19.468170,"[-51, 1, 39]"
2024-10-09 13:50:19.499420,"[-51, 1, 39]"
2024-10-09 13:50:19.530680,"[-51, 0, 39]"
2024-10-09 13:50:19.561930,"[-51, 0, 38]"
2024-10-09 13:50:19.593180,"[-51, 0, 39]"
2024-10-09 13:50:19.624430,"[-50, 0, 39]"
2024-10-09 13:50:19.655680,"[-51, 1, 39]"
2024-10-09 13:50:19.686930,"[-51, 1, 39]"
2024-10-09 13:50:19.718180,"[-50, 1, 40]"
2024-10-09 13:50:19.749440,"[-50, 1, 40]"
2024-10-09 13:50:19.780690,"[-50, 1, 41]"
2024-10-09 13:50:19.811940,"[-50, 1, 40]"
2024-10-09 13:50:19.843190,"[-49, 1, 40]"
2024-10-09 13:50:19.874440,"[-49, 1, 41]"
2024-10-09 13:50:19.905690,"[-50, 0, 41]"
2024-10-09 13:50:19.936940,"[-49, 0, 41]"
2024-10-09 13:50:19.968200,"[-50, 0, 40]"
2024-10-09 13:50:19.999450,"[-49, -1, 40]"
2024-10-09 13:50:20.030700,"[-49, -1, 41]"
2024-10-09 13:50:20.061950,"[-48, -1, 42]"
2024-10-09 13:50:20.093200,"[-49, -1, 41]"
2024-10-09 13:50:20.124450,"[-49, -1, 41]"
2024-10-09 13:50:20.155700,"[-49, -1, 42]"
2024-10-09 13:50:20.186960,"[-49, -1, 41]"
2024-10-09 13:50:20.218210,"[-49, -1, 41]"
2024-10-09 13:50:20.249460,"[-49, -1, 41]"
2024-10-09 13:50:20.280710,"[-49, -1, 41]"
2024-10-09 13:50:20.311960,"[-49, -1, 41]"
2024-10-09 13:50:20.343210,"[-49, -1, 41]"
2024-10-09 13:50:20.374470,"[-49, -1, 41]"
2024-10-09 13:50:20.405720,"[-49, -2, 41]"
2024-10-09 13:50:20.436970,"[-49, -2, 41]"
2024-10-09 13:50:20.468220,"[-49, -1, 41]"
2024-10-09 13:50:20.499470,"[-49, -1, 41]"
2024-10-09 13:50:20.530720,"[-49, -1, 41]"
2024-10-09 13:50:20.561970,"[-49, -1, 41]"
2024-10-09 13:50:20.593230,"[-49, -1, 41]"
2024-10-09 13:50:20.624480,"[-49, -1, 41]"
2024-10-09 13:50:20.655730,"[-49, -1, 41]"
2024-10-09 13:50:20.686980,"[-49, -1, 41]"
2024-10-09 13:50:20.718230,"[-49, -2, 41]"
2024-10-09 13:50:20.749480,"[-49, -2, 41]"
2024-10-09 13:50:20.780730,"[-49, -2, 41]"
2024-10-09 13:50:20.811990,"[-49, -1, 41]"
2024-10-09 13:50:20.843240,"[-49, -1, 41]"
2024-10-09 13:50:20.874490,"[-49, -1, 41]"
2024-10-09 13:50:20.905740,"[-49, -1, 41]"
2024-10-09 13:50:20.936990,"[-49, -1, 41]"
2024-10-09 13:50:20.968240,"[-49, -1, 42]"
2024-10-09 13:50:20.999490,"[-49, 0, 41]"
2024-10-09 13:50:21.030750,"[-49, 0, 41]"
2024-10-09 13:50:21.062000,"[-49, 0, 41]"
2024-10-09 13:50:21.093250,"[-48, 0, 42]"
2024-10-09 13:50:21.124500,"[-49, 0, 41]"
2024-10-09 13:50:21.155750,"[-49, 0, 41]"
2024-10-09 13:50:21.187000,"[-49, 0, 41]"
2024-10-09 13:50:21.218250,"[-48, -1, 41]"
2024-10-09 13:50:21.249510,"[-49, 0, 41]"
2024-10-09 13:50:21.280760,"[-49, 0, 41]"
2024-10-09 13:50:21.312010,"[-49, 0, 41]"
2024-10-09 13:50:21.343260,"[-48, -1, 42]"
2024-10-09 13:50:21.374510,"[-48, -1, 42]"
2024-10-09 13:50:21.405760,"[-49, -1, 42]"
2024-10-09 13:50:21.437010,"[-49, -1, 41]"
2024-10-09 13:50:21.468270,"[-49, -1, 41]"
2024-10-09 13:50:21.499520,"[-49, -1, 41]"
2024-10-09 13:50:21.530770,"[-49, -1, 42]"
2024-10-09 13:50:21.562020,"[-48, -1, 41]"
2024-10-09 13:50:21.593270,"[-49, -1, 41]"
2024-10-09 13:50:21.624520,"[-49, -1, 41]"
2024-10-09 13:50:21.655770,"[-48, 0, 41]"
2024-10-09 13:50:21.687030,"[-49, -1, 42]"
2024-10-09 13:50:21.718280,"[-49, -1, 41]"
2024-10-09 13:50:21.749530,"[-49, -1, 41]"
2024-10-09 13:50:21.780780,"[-49, -1, 41]"
2024-10-09 13:50:21.812030,"[-49, -1, 41]"
2024-10-09 13:50:21.843280,"[-49, -1, 41]"
2024-10-09 13:50:21.874530,"[-49, -1, 41]"
2024-10-09 13:50:21.905790,"[-49, -1, 41]"
2024-10-09 13:50:21.937040,"[-49, -1, 41]"
2024-10-09 13:50:21.968290,"[-49, -1, 41]"
2024-10-09 13:50:21.999540,"[-49, 0, 42]"
2024-10-09 13:50:22.030790,"[-49, 0, 41]"
2024-10-09 13:50:22.062040,"[-49, 0, 41]"
2024-10-09 13:50:22.093290,"[-49, 0, 41]"
2024-10-09 13:50:22.124550,"[-49, 0, 41]"
2024-10-09 13:50:22.155800,"[-50, -1, 41]"
2024-10-09 13:50:22.187050,"[-48, 0, 42]"
2024-10-09 13:50:22.218300,"[-50, -1, 42]"
2024-10-09 13:50:22.249550,"[-50, 0, 41]"
2024-10-09 13:50:22.280800,"[-45, 1, 42]"
2024-10-09 13:50:22.312050,"[-46, 1, 43]"
2024-10-09 13:50:22.343310,"[-47, 1, 43]"
2024-10-09 13:50:22.374560,"[-48, 1, 43]"
2024-10-09 13:50:22.405810,"[-47, 0, 43]"
2024-10-09 13:50:22.437060,"[-47, 0, 43]"
2024-10-09 13:50:22.468310,"[-47, 0, 43]"
2024-10-09 13:50:22.499560,"[-48, 0, 42]"
2024-10-09 13:50:22.530820,"[-48, 0, 42]"
2024-10-09 13:50:22.562070,"[-48, 0, 42]"
2024-10-09 13:50:22.593320,"[-48, -1, 42]"
2024-10-09 13:50:22.624570,"[-48, -1, 42]"
2024-10-09 13:50:22.655820,"[-48, -1, 42]"
2024-10-09 13:50:22.687070,"[-48, -1, 42]"
2024-10-09 13:50:22.718320,"[-48, -1, 42]"
2024-10-09 13:50:22.749580,"[-48, 0, 42]"
2024-10-09 13:50:22.780830,"[-48, 0, 42]"
2024-10-09 13:50:22.812080,"[-48, 0, 42]"
2024-10-09 13:50:22.843330,"[-48, 0, 42]"
2024-10-09 13:50:22.874580,"[-48, 0, 42]"
2024-10-09 13:50:22.905830,"[-48, 0, 42]"
2024-10-09 13:50:22.937080,"[-49, 0, 42]"
2024-10-09 13:50:22.968340,"[-49, 0, 42]"
2024-10-09 13:50:22.999590,"[-49, 0, 42]"
2024-10-09 13:50:23.030840,"[-48, 0, 42]"
2024-10-09 13:50:23.062090,"[-48, 0, 42]"
2024-10-09 13:50:23.093340,"[-48, 0, 42]"
2024-10-09 13:50:23.124590,"[-49, -1, 42]"
2024-10-09 13:50:23.155840,"[-48, 0, 42]"
2024-10-09 13:50:23.187100,"[-48, 0, 42]"
2024-10-09 13:50:23.218350,"[-48, -1, 42]"
2024-10-09 13:50:23.249600,"[-48, -1, 42]"
2024-10-09 13:50:23.280850,"[-49, -1, 42]"
2024-10-09 13:50:23.312100,"[-49, 0, 42]"
2024-10-09 13:50:23.343350,"[-48, 0, 42]"
2024-10-09 13:50:23.374600,"[-48, 0, 42]"
2024-10-09 13:50:23.405860,"[-48, 0, 42]"
2024-10-09 13:50:23.437110,"[-48, 1, 42]"
2024-10-09 13:50:23.468360,"[-48, 1, 42]"
2024-10-09 13:50:23.499610,"[-48, 0, 42]"
2024-10-09 13:50:23.530860,"[-49, 0, 42]"
2024-10-09 13:50:23.562110,"[-49, 0, 42]"
2024-10-09 13:50:23.593360,"[-48, 0, 42]"
2024-10-09 13:50:23.624620,"[-48, 0, 42]"
2024-10-09 13:50:23.655870,"[-48, 0, 42]"
2024-10-09 13:50:23.687120,"[-48, 0, 42]"
2024-10-09 13:50:23.718370,"[-48, 0, 42]"
2024-10-09 13:50:23.749620,"[-48, 0, 42]"
2024-10-09 13:50:23.780870,"[-48, 0, 42]"
2024-10-09 13:50:23.812120,"[-48, -1, 42]"
2024-10-09 13:50:23.843380,"[-48, -1, 42]"
2024-10-09 13:50:23.874630,"[-48, -1, 42]"
2024-10-09 13:50:23.905880,"[-48, -1, 42]"
2024-10-09 13:50:23.937130,"[-48, -1, 42]"
2024-10-09 13:50:23.968380,"[-48, -1, 42]"
2024-10-09 13:50:23.999630,"[-48, -1, 42]"
2024-10-09 13:50:24.030880,"[-48, -1, 42]"
2024-10-09 13:50:24.062140,"[-48, -1, 42]"
2024-10-09 13:50:24.093390,"[-48, -1, 43]"
