Datetime,valueACC
2024-10-09 13:06:50.128620,"[36, 1, 51]"
2024-10-09 13:06:50.159870,"[36, 1, 51]"
2024-10-09 13:06:50.191120,"[36, 1, 51]"
2024-10-09 13:06:50.222370,"[36, 1, 51]"
2024-10-09 13:06:50.253620,"[36, 1, 52]"
2024-10-09 13:06:50.284880,"[36, 1, 51]"
2024-10-09 13:06:50.316130,"[36, 1, 51]"
2024-10-09 13:06:50.347380,"[36, 0, 51]"
2024-10-09 13:06:50.378630,"[36, 1, 51]"
2024-10-09 13:06:50.409880,"[36, 0, 51]"
2024-10-09 13:06:50.441130,"[36, 1, 52]"
2024-10-09 13:06:50.472380,"[36, 0, 51]"
2024-10-09 13:06:50.503640,"[36, 1, 51]"
2024-10-09 13:06:50.534890,"[36, 1, 51]"
2024-10-09 13:06:50.566140,"[37, 1, 51]"
2024-10-09 13:06:50.597390,"[36, 0, 51]"
2024-10-09 13:06:50.628640,"[36, 0, 51]"
2024-10-09 13:06:50.659890,"[36, 0, 51]"
2024-10-09 13:06:50.691140,"[36, 1, 51]"
2024-10-09 13:06:50.722400,"[36, 1, 52]"
2024-10-09 13:06:50.753650,"[36, 1, 52]"
2024-10-09 13:06:50.784900,"[36, 1, 51]"
2024-10-09 13:06:50.816150,"[36, 0, 51]"
2024-10-09 13:06:50.847400,"[36, 1, 51]"
2024-10-09 13:06:50.878650,"[36, 0, 51]"
2024-10-09 13:06:50.909910,"[36, 1, 51]"
2024-10-09 13:06:50.941160,"[37, 0, 51]"
2024-10-09 13:06:50.972410,"[36, 0, 51]"
2024-10-09 13:06:51.003660,"[36, 0, 51]"
2024-10-09 13:06:51.034910,"[36, 1, 51]"
2024-10-09 13:06:51.066160,"[36, 0, 51]"
2024-10-09 13:06:51.097410,"[36, 0, 51]"
2024-10-09 13:06:51.128670,"[36, 1, 52]"
2024-10-09 13:06:51.159920,"[36, 0, 51]"
2024-10-09 13:06:51.191170,"[36, 1, 51]"
2024-10-09 13:06:51.222420,"[36, 0, 51]"
2024-10-09 13:06:51.253670,"[36, 1, 51]"
2024-10-09 13:06:51.284920,"[36, 0, 52]"
2024-10-09 13:06:51.316170,"[36, 1, 52]"
2024-10-09 13:06:51.347430,"[36, 0, 51]"
2024-10-09 13:06:51.378680,"[36, 0, 52]"
2024-10-09 13:06:51.409930,"[36, 1, 51]"
2024-10-09 13:06:51.441180,"[36, 1, 51]"
2024-10-09 13:06:51.472430,"[36, 0, 51]"
2024-10-09 13:06:51.503680,"[36, 0, 52]"
2024-10-09 13:06:51.534930,"[36, 1, 52]"
2024-10-09 13:06:51.566190,"[36, 0, 52]"
2024-10-09 13:06:51.597440,"[36, 0, 51]"
2024-10-09 13:06:51.628690,"[37, 0, 51]"
2024-10-09 13:06:51.659940,"[37, 1, 52]"
2024-10-09 13:06:51.691190,"[36, 1, 52]"
