,Alpha_Beta_C1,Alpha_Beta_C2,Alpha_Beta_C3,Alpha_Beta_C4
0,2.2191435913938813,2.233034055540392,2.21907003309154,2.2192589108358582
1,10.290643541876426,10.052756727116163,10.436575484303066,10.170466258506387
2,1.7638828298419529,1.762221935271291,1.754388153999126,1.7671608886735677
3,7.031562417210327,7.3220752570916785,7.058411890459489,7.108094107478943
4,6.412150702801185,6.556479279722751,6.191181568302717,6.2401202696639775
5,7.23710950159339,7.268766701051232,7.234391583360289,7.319237533110902
6,8.92686519345079,9.182644793253193,9.1394974372924,9.194131738939744
7,12.46211179405716,12.327624590238738,12.278908071687658,12.415184728403498
8,4.857235680735068,4.813571429802035,4.80876920406975,4.8170533208606585
9,6.011461220654149,6.102635199377556,6.138606503672099,6.3503331050873
10,11.697566436054553,11.61752365659939,11.85179526401063,11.593690804890151
11,5.789844654585245,5.780361289361645,5.559842125575557,5.720616346171983
12,5.965810048811622,5.862874616908128,6.00722965564255,5.872250657845428
13,6.818821681507222,6.74489390202994,6.87680422220613,6.75414306844812
14,4.654289111807666,4.629430656889109,4.664998476033745,4.54817658934613
15,7.789912586742659,7.882733319631211,7.841589729229766,7.843321468754849
16,9.336905216539437,9.360747547681491,9.23802671345108,9.223555495336614
17,9.59369737709244,9.139518795747753,9.51058619881918,9.450307427646548
18,5.803586053119752,5.7907269945609015,5.8197087533264815,5.771101521728097
19,11.055642065511844,11.35233928694991,11.146180135183272,11.344464122117364
20,7.150809388170197,7.094972158406777,6.976654356710184,7.050022514607324
21,4.384631710999144,4.391412695482284,4.3559881325646765,4.385317531852001
22,2.2868767903444835,2.2896047983387646,2.3057212530404514,2.379768003047156
23,5.534730635489479,5.472166619489766,5.533418230298873,5.477413198393595
24,6.146094603997721,6.249552739997826,6.208167941467376,6.230112861505787
26,9.10388461062365,8.986393862961297,8.983830866962238,9.070913511257912
28,14.078553903032342,14.189611601348052,13.79711504376942,14.058874413490544
29,4.655227890434883,4.730762343026671,4.683159511468424,4.667896672800288
30,4.483190313061185,4.424879571908416,4.477727281536592,4.517577579432534
31,4.063006776118842,4.282617725956498,4.1814994996036585,4.094401005523332
32,6.529276128232199,6.534792159179729,6.4786164461227855,6.453952095732594
34,7.725009237049563,7.935945098805222,7.846592730760939,7.910010855732168
35,13.470868727157654,13.96360173432685,13.826522168367896,13.801028325632734
