,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
1,1954.3482059307453,9656.329639784642,302.15607374065814,99.13938441396138
2,1172.8381327097231,5283.047957994972,141.76978914633543,51.53477720805485
3,1505.8597925636695,6430.446438059266,206.78278281800223,81.78521056987577
4,1728.7773954943802,8190.097521835188,294.4012888443661,87.37545356981705
6,2222.810199111511,11858.614490134272,451.72510731231137,103.83824854368557
8,2019.2562053525116,10044.337900326982,402.28856621128494,93.60482135059056
9,1764.0312913746852,10104.58535225044,470.5115952908514,113.04002920638813
12,1603.788885842003,9001.63393195405,639.097076451472,80.13715159292376
13,1239.4485219878452,6558.815516556502,452.8343818656459,52.32974744712416
14,1535.5388723458125,7928.79762903122,590.2343024649289,49.06179558407168
15,1249.132513431112,7160.556960260694,509.51824683806944,53.75637429108253
16,1491.675682871041,8793.335003832708,723.4873363111684,64.42591845927191
17,1676.021681356067,8776.990661755532,780.2891929707865,88.81538612043242
18,2238.026026246789,19254.404370994573,1639.7682014313764,111.54343562519644
19,1696.5454544133504,10491.979770474503,1119.4374046260384,75.69996584783402
21,1922.5642972513167,11960.822284476484,1474.5091054767008,75.9898810990732
22,2185.618449567128,12559.836731651249,1705.315182266847,87.1196026242165
24,1954.385161126651,12561.370031918195,1814.7156897080336,86.29226906259912
25,2200.495090120029,13712.823782772315,1928.497491609388,80.00321688188014
27,1787.3215048357763,11052.308217628552,1747.6647206458613,90.58282726314582
28,2060.210988756005,13097.06793241512,2482.6358893451047,88.90680468829109
30,2129.4783398358686,12893.165509468025,2730.258891985946,77.60054091128873
31,1675.7028480466738,11606.100297542398,2583.4026999875427,87.61314498253593
32,1528.247620229302,10334.56432922907,2525.238531547158,67.30432332540306
33,1507.4533570628478,11520.21399768222,3346.422919562696,90.1807709820116
34,1317.3979341548238,8388.334647650767,2549.497021225321,50.35560414495881
35,2504.16090507681,15862.307855505293,5301.696848636614,98.03180598339382
36,1311.206792112622,8441.855600684818,2924.5874863181484,52.13826260235153
37,1764.8166630969076,11822.523703482995,4452.213535641768,64.80336572785792
38,1515.852394217172,10661.92771105519,4052.0478289614457,49.638921014594025
39,988.2921268120974,7107.664852123085,2959.8390356838945,36.9310630656083
40,1781.2210247459502,12675.190554142486,6356.769363227408,53.33583561831576
41,1743.2826230798464,14862.690654519438,7148.447644088755,87.10034055348687
42,1269.3218537781,8971.868235414757,4518.49936913668,35.714786865583655
43,1777.7648857715044,13164.799918514696,6741.865797373815,76.0663510712721
44,1110.105075954708,7827.976505950883,4636.097016241362,45.05964799860383
