,Delta_C1,Delta_C2,Delta_C3,Delta_C4
2,114.92110102450884,552.0141284911041,750.0499577364278,818.5032226594387
4,69.32205776325432,709.3722238054826,817.1100354632348,707.6372540501625
5,75.61426213132388,403.2255966847905,482.4783804641179,469.7008535830492
6,75.04063942926726,480.208878175613,658.1850905423953,559.5527313740195
7,77.94346839595512,992.110829503206,593.8009887945569,563.6022022925144
9,41.79148144608507,681.3881832765194,712.174060556943,724.1502681862978
13,53.10686794648652,994.124452662168,1137.614383185105,1021.6920403286116
14,79.08788585376762,368.6516522030266,430.56372363136177,483.1738169906521
15,70.42997384927277,307.63810255715595,283.50223177777406,325.8631954362188
16,40.57981708590691,246.0181153965823,251.5898759050016,251.70791954389216
21,159.39451477164468,895.7825885088214,575.2398962224376,554.7419230677075
23,79.04961502259512,394.2180693594753,399.5943774988297,429.014102896084
24,108.02913342496024,357.9121880584746,428.6801743213904,575.7088908070203
25,211.687362145336,766.4737600981659,816.2080757922954,891.7177309926205
30,100.09561627799332,590.7858494708245,421.1439847700586,805.1242529328434
31,160.11150181928096,594.6115347710446,621.2849227312214,667.4247030581421
32,188.65541145809777,540.81657013357,435.9043266599879,449.6420493519778
33,139.63264507033563,356.99190517428315,384.2867005680121,369.0449803146806
35,200.83759322811147,826.9544276601571,743.2072631483466,802.0556651083584
36,193.15943290366627,385.8688775328503,339.31560344856734,363.8724858024629
37,211.50013988316468,497.73469443116966,502.829334611308,585.0953422608884
38,258.31070770161983,688.5719960640556,696.8448983211963,724.145441760586
39,173.31051020551803,611.7817746404132,625.5974891898388,651.238343872219
40,136.38965624917796,349.087704248608,348.9392206823122,318.6916351135294
41,117.40257607989622,309.1974153075505,402.7362174805336,392.53984627474
42,127.35400352465678,408.7142065651757,385.2607382852785,421.4995206704107
43,156.65057391020403,448.4243326773719,429.31985555097634,440.3630137798748
44,160.32395634736127,576.9702924668852,552.7037035647845,610.9062510985125
45,199.4991736688021,598.3849705538498,493.1815298662542,532.5472978922915
46,152.12126231573234,559.5169016767793,461.2321141971704,524.5737368542157
47,82.9767631232158,240.97778679366323,210.26837713228733,252.7149770278793
48,155.84551442940688,433.9112923769793,400.8145441806076,449.735995058917
49,158.04843482287495,378.6267306747065,406.53894062437774,418.38963609488064
50,211.9972748926806,592.7487908031676,631.9058232945018,667.5157053477965
51,112.58012235669382,725.6907156578031,333.2531956514208,350.2247019067969
52,74.66066532418878,271.98553371684346,193.6915462649455,187.52964317950605
53,127.9767587159839,365.3346435401255,318.3227675440898,312.2195596887456
54,259.8049302799391,566.5256308750432,579.532688259285,662.7504338470649
55,97.46015776663586,177.04236607124454,217.52469980109987,244.4271120598754
56,258.08785760332944,526.3098165615806,382.21837626932415,403.6826523855877
57,195.4676664165815,460.4315731847487,365.6471293261411,340.0867641745726
58,276.8118968455327,804.7218565759933,639.2391984897288,745.7610570218551
59,151.19182602804116,293.551761720766,298.6478250675293,298.36351501429584
60,204.2912433538944,402.6436423403613,358.05331047281607,426.6372321138388
61,150.06020102941469,430.1556671036051,360.7041398983023,386.4288771890135
67,375.0513777905696,839.6628937362825,796.6462958836244,855.2644674943417
68,547.1389280178962,1093.094282131515,1110.5718261460634,1017.8244301293254
69,252.47761372752524,489.30143534551536,468.6462816533364,481.6279144294113
70,492.5815994533443,977.4244734084198,951.2264720328594,1027.4303631602877
72,628.2955528790892,1282.1257923598514,1235.4943295024914,1330.3460568765554
73,285.3087461193646,508.2779585824343,465.54323676251454,529.204819948998
74,149.37440328155083,296.6552690863854,318.5580971048296,367.5965064400396
75,217.9781458970828,347.61857634271445,361.3842720893622,369.7117566798134
76,221.13104011718812,348.8283633998341,359.26974834725326,364.1734591352491
77,215.8127946889349,362.1439285335718,352.6496947511329,375.5931580193009
78,120.41843343140484,212.51209827235712,214.0613224332736,249.03402375602843
79,241.9252983775629,440.0950688849721,408.7317947421466,449.8629106658293
80,317.4323516827832,485.4506816609401,505.1775292008605,532.8981518340829
81,135.71422124181504,262.7451363393254,211.6785218077289,251.39924084878464
82,202.00167224186413,354.58428741634805,312.7447830698563,338.1904904329045
83,144.11660329332975,259.54967815086485,281.7111655883458,228.6626341912499
84,168.92685784738978,261.2963770493956,241.33972742433696,247.79372459429905
85,298.2461501865825,434.3895549496818,468.0500618991872,543.139521635738
86,99.96490701584528,167.52626548176065,129.753321921922,153.46716314696167
87,216.2030250116482,420.1418634937298,404.66610424488704,461.50981064605867
88,366.44628885249153,618.9407609270309,544.7824996367929,601.7897155699891
89,129.58336502283947,215.61500024108983,208.77774111506105,186.6691203977732
90,193.9655759321932,321.6910793257508,282.8332247880141,308.3719686116716
91,271.0752291215059,396.1082184446658,382.0697285933178,385.6445483007885
92,282.69471012801523,468.7022286500622,426.60860046728726,471.3608016788429
93,250.20835936463996,365.7290321136969,392.61178183950216,454.8025129777363
94,151.12906675731915,251.0532117309352,268.0143608485363,408.95621162860425
95,220.1528994875452,357.6390245107241,333.0881594151232,374.8987276889936
96,185.08915895212985,350.11678229642223,348.9614214338434,408.9934016028759
97,460.4672569806066,703.7922738888624,702.0638195606251,717.8741392572356
