,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
185,17155.82289056142,21065.05242705836,19919.70645820532,20032.128327145478
186,9936.709259309782,12345.523975345968,11378.890116513245,11455.484502406916
187,22082.497188225057,27437.35923062341,25986.823847241467,26316.742877218105
188,5997.558013226868,7522.028652685774,7000.419744064797,7100.058689850238
189,22648.04221226732,28173.404867646783,26265.432135236333,26682.365628924697
190,22644.00937284359,27989.775153831437,25870.713065084463,26282.112484121542
191,25312.946056703197,31166.20842920552,28946.016469194063,29347.40694018492
192,33102.72485641578,40329.15309427319,37832.66923390968,38389.817273529006
193,24123.07746190505,29773.265303763637,27437.005213162,27889.241132606745
194,43356.0087590189,53234.3513218563,49660.15958475339,50402.21560763643
195,15015.805517287105,18365.432128415567,17230.861439520944,17474.76156544316
196,10296.130967628696,12561.497185169495,11755.356983307773,11926.131250563594
197,2848.4934587950597,3481.9454358122075,3228.156946968902,3251.950082127175
198,14330.806839555176,17818.14861284329,16397.928803324026,16661.022730907043
199,23397.6302079638,28801.71463663776,26530.54943695093,27103.08938046427
200,16630.847201790417,20980.61238449159,18782.71397369511,19099.682671856524
201,39125.3221274472,48049.28952264361,44406.95388541347,45113.30766966799
202,12619.820972948915,15517.082356218118,14438.938500781038,14759.862410951851
203,24854.024089957355,31132.165813387044,28487.01608573794,28836.50922414093
204,22592.679797946188,28276.978714752902,25829.97417443392,26070.476043253657
205,25513.68710134401,31404.945859534037,29155.219746708928,29438.7703544696
206,21491.744969897125,26614.47241752233,24443.54495636006,24798.1489980775
207,29578.96759713784,36941.98466538824,33584.38678967305,34213.22278508895
208,34103.172545262365,42358.21889281674,38750.34992828655,39032.73628683695
209,43830.65378865692,53846.611316210576,49766.98244586069,50177.37800422096
210,22419.7283781339,27629.83675848205,25492.43335240528,25779.22312110004
211,31088.19110117473,38058.03062309838,35176.63386035532,35707.64785219249
212,21259.07640021969,26095.301638571946,24102.73485697896,24478.59025805184
213,29707.444324994023,36492.80006745165,33462.78546137041,33741.01065322367
214,26957.47084897023,33321.97611649604,30366.295739745317,30813.56365464128
215,20864.60154384921,25977.316784904822,23490.437382883825,23772.785424279
220,21991.11306352368,44652.26522153493,57987.55412934963,6755.23468636556
