,Delta_C1,Delta_C2,Delta_C3,Delta_C4
75,245254.833207658,244403.9197651072,246102.5995699725,251663.2606840497
76,253996.32949538733,255585.0264660129,255053.5801615098,259192.50717552225
77,318637.34358714015,321598.471639137,313361.9320590485,254793.30666718885
79,5773.547105025725,6608.3779653504935,5439.546034255831,7336.13637973396
80,3084.8227661142096,3392.3654529457763,2760.639396659465,3314.79433667488
81,961.926780489902,933.0418392987688,978.145063996627,1223.2180613627745
82,1400.0988907472083,1201.9500620093177,1432.9464051469638,1427.466762862378
83,1043.0103435332146,964.189235282385,1169.320751250992,2097.7663235763034
84,2059.6014019946024,1935.4339424104808,2257.499366094639,2006.326595308455
85,2799.0950085026293,2457.1064549122707,3075.5539868460546,1468.6481400152206
86,2271.3991991739754,2174.804370652144,2529.529817147018,3663.630302167883
87,12404.711173768535,13054.612057668328,11974.262478299212,13214.834792392923
88,25608.307788591053,27456.748529686163,23464.90982012323,35279.43534475414
89,7803.733846038125,7908.706468969363,7663.0987464157615,9416.081912202895
90,7524.766570310749,7656.474696578352,7579.066422114616,5567.843345234568
91,10617.485163249545,10820.806520742748,10473.892118691789,12382.9828576332
92,9286.32749127268,9082.657741404704,9016.229072456665,7629.268071602135
93,8537.8351171696,8579.432240649427,9136.68429375217,8298.569037571397
94,12322.515224298331,12301.089736120972,12927.087643560124,13877.485302868145
95,22373.22059450351,22806.880899146545,21683.795826068672,18059.7582221223
96,13275.483086501354,13373.154282339528,14253.883080288178,14882.927064839016
97,15035.26951074725,14892.279576816836,15674.285306727492,16890.5684196899
98,17694.027616166957,17673.719798386133,18568.201844382937,19414.10235441485
99,18026.085911181013,18178.22425481155,18957.0385427671,23329.33632938937
100,21273.83277625145,21865.760611771155,22914.902624174105,22452.90510730749
101,22977.17134010234,22501.66567708733,24222.86061012744,24288.899474716192
102,24180.784806421376,25903.69615872565,26608.492600420297,27944.20638292675
103,25720.227575782752,25700.98838318505,27120.081347357627,30725.197924989698
104,40236.06383734386,44226.417360505,43227.1870982161,32221.53690632133
105,84407.93034441865,89185.86566198934,85484.12689139922,47081.2967747953
106,33541.99883150796,34766.667388401605,34787.14438033649,34127.46687300799
