,Alpha_Beta_C1,Alpha_Beta_C2,Alpha_Beta_C3,Alpha_Beta_C4
2,2.3155541771847674,1.6124399143138513,1.4569747053956783,1.7268585650462729
3,0.86868182130787,1.383171588079089,0.6516117483946524,0.6369864708924278
4,1.1843163294713592,1.0911999235229195,1.5599839186306694,1.4851672189052294
5,1.108190120035086,1.803971187382691,0.9663216272872382,0.9712555727373468
6,1.460357305861935,1.4766545409748126,1.481546088448632,1.4702459181947674
7,0.8063484420453563,1.2787436889320634,0.7387971528614875,0.7307364209013281
8,1.2169657540166985,1.3115858925683397,0.9064316086146352,0.9027824066149516
9,0.8055386904008311,1.321237600343752,0.7628088848829266,0.7555796810666562
10,0.8228932595325547,1.292339739671876,1.1372547941409663,1.125764486814418
11,1.7465033562169834,1.2297128634063106,1.619803239887118,1.6208323745510886
12,0.9170509112542972,1.4167093746609425,0.9018611819541664,0.904489958715226
13,0.9307634473806226,1.70130787200923,1.0998428534005231,1.0999307790170534
16,0.7693459663047771,1.1491833467795018,0.7572243651284486,0.7340403126792667
17,0.6839543227361682,1.1210873810193032,0.4649975907830427,0.4714194127868974
18,0.942398397258104,0.8024764394570162,0.9226829090722648,0.9361745102201584
19,1.629109539635868,1.0320966723926468,1.4796003810084046,1.500819960505981
20,1.238867240023854,2.007542472612862,1.218473591700431,1.2094715049127245
21,1.2073784437824295,0.9005316402373683,1.0230010905302045,1.033144015175368
22,0.9740929730763164,1.8483676415986547,0.85040778505602,0.8522208303172991
23,1.0286475170183622,1.1387938693145878,1.0224081919399697,1.0095066148532978
24,1.4731207310272718,1.25072363773453,1.9535323096947923,1.9569463602330224
25,1.3574374024755875,2.1856585249128333,1.052606799901932,1.0437608568002417
26,1.1366954093163333,1.162462954962421,0.9129442075632116,0.9154443990263066
27,0.46582818292202,0.7400905682028539,0.5094393184417232,0.5135599630678939
29,0.7440844705257496,0.330672895537379,0.8684539976865048,0.8695202060848187
30,1.359473182161769,1.1565043416455976,1.2040784685394774,1.2139522365365487
31,0.5269993318047633,1.0538549756179267,0.3832819624590369,0.3747834573466549
32,1.5500367787028169,1.4246291086060137,1.3847775266908695,1.3997192337578486
33,1.4397695680131426,1.4877587114941015,1.4417264286343223,1.4417793581552352
34,0.5951072147213046,1.2321924017000396,0.4350761713486608,0.4378993622000796
35,0.900266479102695,0.8089950823868631,2.6161433467244475,2.619810807812874
36,0.4099404398771657,0.628961843476372,0.6517850353834405,0.6580597039991454
37,0.737802273686875,1.1081997532139258,1.0030931520097288,1.000360721798795
38,1.2135934134905864,1.4576612138514289,0.9939000293006284,0.986888111258383
39,0.7196362791241018,1.7803675003426946,0.7216848953987433,0.726307785672773
40,0.6420458488008058,1.4380750140986576,0.653981732153876,0.6588092660878085
41,1.2824429719491586,1.9703137519140013,1.1437617450298951,1.1582625020839212
43,0.4370415833387343,0.2862318477370835,0.3089078818616631,0.3115738901459838
45,1.982649624320565,1.9121138167491731,2.211978989119201,2.1892551082408267
46,1.7554689057804,1.4438461585853457,1.997494994542362,2.001816195737058
47,1.253265313782169,1.361239092094405,0.8827772472240967,0.8875563461636343
48,0.3966596660817286,0.8029910114579948,0.3923825946277201,0.397951519475181
49,0.6430394782972442,0.7450894625213863,0.6240565031477726,0.6264751590328511
51,1.5879667847081318,1.375863168960213,1.899730620979099,1.9302829179247316
