,PSD1,PSD2,PSD3,PSD4
25,0.9562783187323862,0.7121778297777537,13.947370364410236,40.64404712526836
33,0.2678940361381148,0.2051662314569789,0.9415722697844324,36.64704596164216
34,0.1547420868487214,0.1050868368358692,1.2258350425431532,35.93771113698457
35,0.2665206585471001,0.0758263930716579,0.6945759191150312,44.554740978256
37,0.2086280285900625,0.1016981440312008,0.0850911699036787,44.66818563905185
38,0.0579221341168141,0.0965405288238967,0.2253646027415634,23.73106075195828
39,0.0331440199451137,0.1121862591606641,0.4976503056902385,12.525883295368685
40,0.037623870102096,0.032606172130814,0.5656889097032618,7.735093148461066
41,0.0326107048679552,0.0149208468132446,0.5273768801881661,10.333331129483454
42,0.0496655100341447,0.0228848737221233,0.2439794065850828,11.007584002173832
43,0.0270967871090131,0.0107937031793891,0.0635144181966563,8.345051679903058
44,0.0226239717678991,0.0173447286233502,0.0409663894623918,5.037349122894256
45,0.0079181439052745,0.0099691999977979,0.0289827045947829,1.755727336816941
46,0.0023959713500797,0.0025394412357714,0.0235297206966513,0.6930238663206947
47,0.0138660892330377,0.0098898174513302,0.0320395043762205,0.4117898336853559
48,0.0055102469533364,0.0046309549618222,0.0166674817055785,0.5587696071274959
49,0.0116612772522947,0.0083526686464889,0.0138610051811666,0.9076058048285692
50,0.0058881324382784,0.0086455880014551,0.0033577511924551,1.0729120107792385
51,0.0098732723244128,0.0044782821240391,0.000695678510185,0.8204925866137014
52,0.0050681358274886,0.004924038743255,0.0007583845713027,0.3586129770756736
53,0.0048088574196036,0.0043349311684775,0.0045719583718765,0.1412244622562509
54,0.00345499797034,0.002936493143522,0.0002429005545072,0.0967565018810792
55,0.002525674659988,0.0030527108935241,0.0015820386761479,0.0118696067411031
56,0.0013050115909558,0.0015474888916605,0.0001449236494448,0.0092628666727559
57,0.0197915916161863,0.012818484510978,0.0122510095107133,0.0460582201967678
66,0.0026036122534793,0.0024259690318065,0.0013827324868805,0.0052710534320392
67,0.000440022946985,0.0004016474550224,0.0003187787539158,0.0020322336786622
68,0.0002430884279064,0.0004416130205268,0.0002091234707608,0.0058117354753082
69,0.0001745659734277,0.0002335446014928,0.000192933861341,0.0071102386972394
70,0.0001231961154885,0.0001703904257428,0.0001498143096059,0.0126817632931089
71,6.413424215515836e-05,0.0001667816298151,0.0001727053535863,0.0139978442176282
72,7.179173656341657e-05,0.0001024764289465,6.632728517127204e-05,0.0127522797983497
73,2.2572615983963263e-05,4.9856137005316405e-05,0.000146978501221,0.0045479572921236
