Datetime,valueACC
2024-10-10 12:47:54.422620,"[-60, 0, 25]"
2024-10-10 12:47:54.453870,"[-59, 0, 25]"
2024-10-10 12:47:54.485120,"[-60, 0, 25]"
2024-10-10 12:47:54.516380,"[-59, 0, 24]"
2024-10-10 12:47:54.547630,"[-59, 0, 25]"
2024-10-10 12:47:54.578880,"[-60, 0, 24]"
2024-10-10 12:47:54.610130,"[-60, 0, 24]"
2024-10-10 12:47:54.641380,"[-60, 0, 24]"
2024-10-10 12:47:54.672630,"[-61, 0, 24]"
2024-10-10 12:47:54.703880,"[-60, 0, 25]"
2024-10-10 12:47:54.735140,"[-59, 0, 25]"
2024-10-10 12:47:54.766390,"[-59, 0, 26]"
2024-10-10 12:47:54.797640,"[-59, 0, 26]"
2024-10-10 12:47:54.828890,"[-60, 0, 25]"
2024-10-10 12:47:54.860140,"[-59, 0, 25]"
2024-10-10 12:47:54.891390,"[-60, 0, 25]"
2024-10-10 12:47:54.922650,"[-59, 0, 25]"
2024-10-10 12:47:54.953900,"[-59, 0, 25]"
2024-10-10 12:47:54.985150,"[-59, 0, 25]"
2024-10-10 12:47:55.016400,"[-59, 0, 25]"
2024-10-10 12:47:55.047650,"[-59, 0, 25]"
2024-10-10 12:47:55.078900,"[-59, 0, 25]"
2024-10-10 12:47:55.110150,"[-59, 0, 25]"
2024-10-10 12:47:55.141410,"[-60, 0, 25]"
2024-10-10 12:47:55.172660,"[-60, 0, 25]"
2024-10-10 12:47:55.203910,"[-59, 0, 26]"
2024-10-10 12:47:55.235160,"[-59, 0, 25]"
2024-10-10 12:47:55.266410,"[-59, 0, 25]"
2024-10-10 12:47:55.297660,"[-59, 0, 25]"
2024-10-10 12:47:55.328910,"[-59, 0, 26]"
2024-10-10 12:47:55.360170,"[-60, 0, 25]"
2024-10-10 12:47:55.391420,"[-59, 0, 26]"
2024-10-10 12:47:55.422670,"[-59, 0, 26]"
2024-10-10 12:47:55.453920,"[-59, 0, 25]"
2024-10-10 12:47:55.485170,"[-59, 0, 25]"
2024-10-10 12:47:55.516420,"[-59, 0, 26]"
2024-10-10 12:47:55.547670,"[-60, 0, 26]"
2024-10-10 12:47:55.578930,"[-59, 0, 26]"
2024-10-10 12:47:55.610180,"[-59, 0, 25]"
2024-10-10 12:47:55.641430,"[-59, 0, 25]"
2024-10-10 12:47:55.672680,"[-59, 0, 25]"
2024-10-10 12:47:55.703930,"[-59, 0, 25]"
2024-10-10 12:47:55.735180,"[-59, 0, 26]"
2024-10-10 12:47:55.766430,"[-59, 0, 26]"
2024-10-10 12:47:55.797690,"[-60, 0, 25]"
2024-10-10 12:47:55.828940,"[-59, 0, 26]"
2024-10-10 12:47:55.860190,"[-59, 0, 26]"
2024-10-10 12:47:55.891440,"[-59, 0, 25]"
2024-10-10 12:47:55.922690,"[-59, 0, 25]"
2024-10-10 12:47:55.953940,"[-59, 0, 25]"
2024-10-10 12:47:55.985190,"[-59, 0, 25]"
2024-10-10 12:47:56.016450,"[-59, 0, 25]"
2024-10-10 12:47:56.047700,"[-60, 0, 25]"
2024-10-10 12:47:56.078950,"[-59, 0, 26]"
2024-10-10 12:47:56.110200,"[-59, 0, 26]"
